file_name,u_percent,uV_ref,uV_sensor,uV_error,ps_bar,pa_bar,pb_bar,dp_bar,x_m,xdot_mps,Q_m3ps,Ad_m2,Kv_Lmin_sqrtbar
-100prosent.csv,-100,0.111831967340198,0,-0.111831967340198,143.909183969837,39.7124088504461,115.340488837941,28.5686951318961,0.393566809741663,-0.039542974649411,0.00048448888277274,9.23321832464868e-06,5.43863438545115
-95prosent.csv,-95,0.356907989397443,0.249946592608417,-0.106961396789026,143.981939697193,39.3633454192523,114.657717759313,29.3242219378796,0.389024024351237,-0.0392793548184148,0.000481258956887587,9.05274042119536e-06,5.33232764634642
-90prosent.csv,-90,0.606198189928447,0.499893185216834,-0.106305004711613,144.049819847022,38.6529595935502,113.513215224997,30.5366046220255,0.401797911268129,-0.0387521151564198,0.00047479910511725,8.75213503676866e-06,5.15526232386505
-85prosent.csv,-85,0.855656391907426,0.750144962920014,-0.105511428987412,144.153985124462,37.7271757996384,111.940823638199,32.2131614862631,0.40401228443051,-0.0379612556634342,0.000465109327461827,8.34743152673873e-06,4.91688017495759
-80prosent.csv,-80,1.10419303133052,1.00009155552843,-0.104101475802088,144.341676757234,36.2129658225602,109.653103721144,34.68857303609,0.414622614904865,-0.0370385862549477,0.000453804586863792,7.84856311116459e-06,4.62303215540908
-75prosent.csv,-75,1.35336693559328,1.25003814813684,-0.10332878745644,144.547914964346,34.0863157979502,105.737543969557,38.8103709947884,0.425495994813733,-0.0354568672689736,0.000434425031552912,7.10322277156677e-06,4.18400499745928
-70prosent.csv,-70,1.60545275948692,1.49998474074527,-0.105468018741654,144.891274400759,31.293124734697,100.932244065502,43.9590303352573,0.419963675930989,-0.0334797185365006,0.000410200587414245,6.30212070477726e-06,3.71213255888968
-65prosent.csv,-65,1.85348459295108,1.74993133335368,-0.103553259597398,145.165606576753,29.2126811274675,97.6165862777594,47.549020298993,0.435924613478158,-0.0318979995505251,0.000390821032103347,5.77326684998684e-06,3.40062224272362
-60prosent.csv,-60,2.10314307151677,2.00018311105686,-0.102959960459919,145.475407664017,26.7736464482782,93.1061850597753,52.3692226042412,0.423408642952334,-0.0299208508180507,0.000366596587964663,5.16017993898528e-06,3.03949620430408
-55prosent.csv,-55,2.35251464925194,2.25012970366527,-0.102384945586672,145.716506756372,23.6470343822115,87.821023001012,57.8954837553599,0.432941647408977,-0.0272846525080922,0.000334297329113174,4.47532989304466e-06,2.63609959027761
-50prosent.csv,-50,2.60106662885273,2.50007629627368,-0.100990332579052,146.127847176642,19.8902880423987,81.8751313187383,64.2527158579038,0.458846072813991,-0.0242530244516392,0.000297153181433953,3.77614907204867e-06,2.2242617325541
-45prosent.csv,-45,2.85240628910183,2.7500228888821,-0.10238340021973,146.549806207465,15.7156018250069,74.8191587572863,71.7306474501785,0.464088922679986,-0.0205623468176913,0.000251934219041796,3.0300463739497e-06,1.78478552325377
-40prosent.csv,-40,3.10242734586949,2.99996948149054,-0.102457864378955,146.949795445675,10.9795959670593,67.1140773853027,79.835718060372,0.490526636863033,-0.0162126196062599,0.00019864044193684,2.26455850880864e-06,1.33389088623563
-35prosent.csv,-35,3.35101938456109,3.25022125919371,-0.100798125367382,147.482761686267,6.70390278660531,59.6843112304134,87.7984504558537,0.494274617047993,-0.011599272563825,0.000142116738946644,1.54495665318011e-06,0.910024444627933
-30prosent.csv,-30,3.59973344381313,3.50016785180212,-0.0995655920110066,148.073169543234,3.29375078009167,52.5243150533965,95.5488544898371,0.500457725820981,-0.00672230569040436,8.23631100714209e-05,8.58290856764329e-07,0.505558300712489
-25prosent.csv,-25,3.84755122053815,3.75011444441054,-0.0974367761276049,148.512553586642,0.63491368961058,46.7591732940245,101.753380292617,0.534821295756732,-0.00237257847896521,2.90693329663712e-05,2.93545302342773e-07,0.172906728604818
-22prosent.csv,-22,3.98396140801954,4.08480750023728,0.100846092217743,153.004628605615,0.0850634568507243,35.4908957355722,117.513732870043,0.507837169589703,-0.000263619830997979,3.22992588517495e-06,3.03502824434194e-08,0.0178771998994419
-21-8prosent.csv,-21.8,3.91003143406474,4.00856731695685,0.0985358828921141,152.953618237593,0.0469873256518357,39.5862942156468,113.367324021946,0.502089817504907,-0.000263619830992428,3.22992588510694e-06,3.09003287765043e-08,0.0182011932022669
-21-6prosent.csv,-21.6,3.92245545381719,4.02039307349293,0.0979376196757391,152.977481512779,0.0216493233440988,36.4567814132622,116.520700099516,0.503755145287561,-0.00013180991549899,1.61496294258748e-06,1.52396681333263e-08,0.00897660817913413
-21-4prosent.csv,-21.4,3.93094606237972,4.03054399458326,0.0995979322035345,152.958986547475,0.00537395212845273,27.333477324813,125.625509222662,0.504442848603864,0,0,0,0
-21-2.csv,-21.2,3.94024475844596,4.03904349140605,0.0987987329600939,153.03462301181,0.00462521451903067,15.6880397961363,137.346583215674,0.504680075879043,0,0,0,0
-21prosent.csv,-21,3.95001068147829,4.04974724056061,0.0997365590823218,153.012015353602,0.00493063688553624,6.44517045528503,146.566844898317,0.510295153037024,0,0,0,0
-20prosent.csv,-20,4.09889907719117,4.00006103701894,-0.0988380401722351,148.768690533755,3.45818804260591e-05,0.17773357444973,148.590956959305,0.54347455721274,0,0,0,0
-20prosent.csv,-20,4.00006103701894,4.09824634831502,0.0981853112960849,152.982237604658,0.00386983004511964,1.74094186763728,151.241295737021,0.510330246483592,0,0,0,0
-15prosent.csv,-15,4.34787277388728,4.25000762962736,-0.0978651442599183,148.789675720934,3.9315310114006e-05,0.178688084468157,148.610987636465,0.543562231253309,0,0,0,0
