file_name,u_percent,uSensor_V,uValve_V,ps_bar,pa_bar,pb_bar,dp_bar,x_m,xdot_mps,Q_m3ps,Ad_m2
-100prosent.csv,-100,0.111831967340198,0,143.909183969837,39.7124088504461,115.340488837941,28.5686951318961,0.393566809741663,-0.039542974649411,0.00048448888277274,9.23321832464868e-06
-95prosent.csv,-95,0.356907989397443,0.249946592608417,143.981939697193,39.3633454192523,114.657717759313,29.3242219378796,0.389024024351237,-0.0392793548184148,0.000481258956887587,9.05274042119536e-06
-90prosent.csv,-90,0.606198189928447,0.499893185216834,144.049819847022,38.6529595935502,113.513215224997,30.5366046220255,0.401797911268129,-0.0387521151564198,0.00047479910511725,8.75213503676866e-06
-85prosent.csv,-85,0.855656391907426,0.750144962920014,144.153985124462,37.7271757996384,111.940823638199,32.2131614862631,0.40401228443051,-0.0379612556634342,0.000465109327461827,8.34743152673873e-06
-80prosent.csv,-80,1.10419303133052,1.00009155552843,144.341676757234,36.2129658225602,109.653103721144,34.68857303609,0.414622614904865,-0.0370385862549477,0.000453804586863792,7.84856311116459e-06
-75prosent.csv,-75,1.35336693559328,1.25003814813684,144.547914964346,34.0863157979502,105.737543969557,38.8103709947884,0.425495994813733,-0.0354568672689736,0.000434425031552912,7.10322277156677e-06
-70prosent.csv,-70,1.60545275948692,1.49998474074527,144.891274400759,31.293124734697,100.932244065502,43.9590303352573,0.419963675930989,-0.0334797185365006,0.000410200587414245,6.30212070477726e-06
-65prosent.csv,-65,1.85348459295108,1.74993133335368,145.165606576753,29.2126811274675,97.6165862777594,47.549020298993,0.435924613478158,-0.0318979995505251,0.000390821032103347,5.77326684998684e-06
-60prosent.csv,-60,2.10314307151677,2.00018311105686,145.475407664017,26.7736464482782,93.1061850597753,52.3692226042412,0.423408642952334,-0.0299208508180507,0.000366596587964663,5.16017993898528e-06
-55prosent.csv,-55,2.35251464925194,2.25012970366527,145.716506756372,23.6470343822115,87.821023001012,57.8954837553599,0.432941647408977,-0.0272846525080922,0.000334297329113174,4.47532989304466e-06
-50prosent.csv,-50,2.60106662885273,2.50007629627368,146.127847176642,19.8902880423987,81.8751313187383,64.2527158579038,0.458846072813991,-0.0242530244516392,0.000297153181433953,3.77614907204867e-06
-45prosent.csv,-45,2.85240628910183,2.7500228888821,146.549806207465,15.7156018250069,74.8191587572863,71.7306474501785,0.464088922679986,-0.0205623468176913,0.000251934219041796,3.0300463739497e-06
-40prosent.csv,-40,3.10242734586949,2.99996948149054,146.949795445675,10.9795959670593,67.1140773853027,79.835718060372,0.490526636863033,-0.0162126196062599,0.00019864044193684,2.26455850880864e-06
-35prosent.csv,-35,3.35101938456109,3.25022125919371,147.482761686267,6.70390278660531,59.6843112304134,87.7984504558537,0.494274617047993,-0.011599272563825,0.000142116738946644,1.54495665318011e-06
-30prosent.csv,-30,3.59973344381313,3.50016785180212,148.073169543234,3.29375078009167,52.5243150533965,95.5488544898371,0.500457725820981,-0.00672230569040436,8.23631100714209e-05,8.58290856764329e-07
-25prosent.csv,-25,3.84755122053815,3.75011444441054,148.512553586642,0.63491368961058,46.7591732940245,101.753380292617,0.534821295756732,-0.00237257847896521,2.90693329663712e-05,2.93545302342773e-07
-20prosent.csv,-20,4.09889907719117,4.00006103701894,148.768690533755,3.45818804260591e-05,0.17773357444973,148.590956959305,0.54347455721274,0,0,0
-15prosent.csv,-15,4.34787277388728,4.25000762962736,148.789675720934,3.9315310114006e-05,0.178688084468157,148.610987636465,0.543562231253309,0,0,0
-10prosent.csv,-10,4.59944881869658,4.50025940733054,148.870869863847,4.86350748621469e-05,0.175402397490333,148.695467466357,0.543688112170722,0,0,0
-5prosent.csv,-5,4.84763229306737,4.75020599993896,148.941138514795,4.98261379199954e-05,0.172049654237744,148.769088860557,0.543769561245995,0,0,0
