Name;YT Scope Project;
File;C:\Users\Tobno\Desktop\Kv Tester\MainOpp120bar\95prosent.csv;
Starttime of export;134212490832990000;tirsdag 21. april 2026;14:44:43.299
Endtime of export;134212490888293422;tirsdag 21. april 2026;14:44:48.829


Name;fPresSupply_bar (1);Name;fPres2A_bar;Name;fPres2B_bar;Name;fCylinder2_m;Name;fSensor2_V;Name;fValve2_V

0;116.12903225806453;0;75.307473982970677;0;12.842188787499619;0;0.16036087904530996;0;9.645680104983672;0;9.750053407391583
10;116.17786187322612;10;75.380718405713068;10;12.756736960966828;10;0.16063767986785582;10;9.645680104983672;10;9.750053407391583
20;116.26331369975891;20;75.258644367809083;20;12.744529557176429;20;0.16091448069040168;20;9.6478164006469918;20;9.750053407391583
30;116.44642475661489;30;75.331888790551474;30;12.793359172338024;30;0.16127036746224635;30;9.6432386242255923;30;9.750053407391583
40;116.44642475661489;40;75.331888790551474;40;12.805566576128422;40;0.16146808233549342;40;9.645985290078432;40;9.750053407391583
50;116.66615802484206;50;75.356303598132271;50;12.95205542161321;50;0.16166579720874047;50;9.6417126987517925;50;9.750053407391583
60;116.67836542863246;60;75.502792443617054;60;12.95205542161321;60;0.16202168398058514;60;9.6462904751731919;60;9.750053407391583
70;116.73940244758445;70;75.612659077730655;70;12.903225806451612;70;0.16237757075242984;70;9.6414075136570325;70;9.750053407391583
80;116.81264687032686;80;75.637073885311452;80;12.95205542161321;80;0.16281254347357343;80;9.6450697347941521;80;9.750053407391583
90;116.86147648548845;90;75.661488692892249;90;12.95205542161321;90;0.16301025834682051;90;9.6417126987517925;90;9.750053407391583
100;116.93472090823084;100;75.637073885311452;100;13.037507248146001;100;0.16328705916936637;100;9.6417126987517925;100;9.750053407391583
110;116.89809869685965;110;75.466170232245858;110;13.0497146519364;110;0.16356385999191222;110;9.6432386242255923;110;9.750053407391583
120;116.82485427411726;120;75.380718405713068;120;13.0497146519364;120;0.1638802037891075;120;9.6401867732779927;120;9.750053407391583
130;116.81264687032686;130;75.392925809503467;130;13.147373882259592;130;0.16419654758630278;130;9.6438489944151122;130;9.750053407391583
140;116.95913571581164;140;75.28305917538988;140;13.196203497421186;140;0.16459197733279687;140;9.6404919583727526;140;9.750053407391583
150;116.83706167790766;150;75.222022156437887;150;13.232825708792383;150;0.16490832112999215;150;9.6450697347941521;150;9.750053407391583
160;116.91030610065005;160;75.209814752647489;160;13.269447920163579;160;0.1651060360032392;160;9.6398815881832327;160;9.750053407391583
170;116.83706167790766;170;75.112155522324286;170;13.196203497421186;170;0.16542237980043453;170;9.645374919888912;170;9.750053407391583
180;116.86147648548845;180;75.0267036957915;180;13.171788689840389;180;0.16573872359762981;180;9.6426282540360724;180;9.750053407391583
190;117.02017273476363;190;75.0511185033723;190;13.25724051637318;190;0.16605506739482509;190;9.6447645496993921;190;9.750053407391583
200;116.75160985137485;200;74.929044465468309;200;13.245033112582782;200;0.16633186821737095;200;9.6441541795098722;200;9.750053407391583
210;116.54408398693808;210;74.758140812402715;210;13.269447920163579;210;0.16664821201456623;210;9.6426282540360724;210;9.750053407391583
220;116.54408398693808;220;74.83138523514512;220;13.232825708792383;220;0.16688546986246269;220;9.6447645496993921;220;9.750053407391583
230;116.65395062105166;230;74.855800042725917;230;13.196203497421186;230;0.16720181365965797;230;9.6417126987517925;230;9.750053407391583
240;116.48304696798608;240;74.745933408612316;240;13.293862727744376;240;0.16751815745685325;240;9.6462904751731919;240;9.750053407391583
250;116.45863216040529;250;74.697103793450722;250;13.342692342905973;250;0.16775541530474974;250;9.6407971434675126;250;9.750053407391583
260;116.48304696798608;260;74.684896389660324;260;13.293862727744376;260;0.16807175910194502;260;9.6447645496993921;260;9.750053407391583
270;116.49525437177648;270;74.63606677449873;270;13.208410901211584;270;0.16838810289914033;270;9.6389660328989528;270;9.750053407391583
280;116.43421735282449;280;74.660481582079527;280;13.196203497421186;280;0.16870444669633558;280;9.6411023285622726;280;9.750053407391583
290;116.3487655262917;290;74.697103793450722;290;13.196203497421186;290;0.16902079049353086;290;9.6407971434675126;290;9.750053407391583
300;116.28772850733971;300;74.745933408612316;300;13.098544267097994;300;0.16933713429072614;300;9.6429334391308323;300;9.750053407391583
310;116.29993591113011;310;74.721518601031519;310;12.976470229194007;310;0.169613935113272;310;9.6426282540360724;310;9.750053407391583
320;116.40980254524369;320;74.648274178289128;320;13.086336863307595;320;0.16993027891046728;320;9.6392712179937128;320;9.750053407391583
330;116.26331369975891;330;74.806970427564323;330;13.15958128604999;330;0.17024662270766261;330;9.6435438093203523;330;9.750053407391583
340;116.3853877376629;340;74.843592638935519;340;13.135166478469193;340;0.17056296650485789;340;9.6392712179937128;340;9.750053407391583
350;116.25110629596851;350;74.770348216193113;350;13.061922055726798;350;0.17087931030205317;350;9.6438489944151122;350;9.750053407391583
360;116.25110629596851;360;74.770348216193113;360;13.098544267097994;360;0.17115611112459905;360;9.6414075136570325;360;9.750053407391583
370;116.21448408459732;370;74.770348216193113;370;13.147373882259592;370;0.17139336897249549;370;9.645680104983672;370;9.750053407391583
380;116.28772850733971;380;74.904629657887511;380;13.074129459517197;380;0.17167016979504135;380;9.6404919583727526;380;9.750053407391583
390;116.3853877376629;390;75.099948118533888;390;13.110751670888392;390;0.17202605656688605;390;9.6411023285622726;390;9.750053407391583
400;116.3365581225013;400;74.9534592730491;400;13.074129459517197;400;0.17230285738943191;400;9.6411023285622726;400;9.750053407391583
410;116.3853877376629;410;74.806970427564323;410;12.95205542161321;410;0.17257965821197779;410;9.6414075136570325;410;9.750053407391583
420;116.28772850733971;420;74.868007446516316;420;12.964262825403608;420;0.1728960020091731;420;9.6432386242255923;420;9.750053407391583
430;116.11682485427413;430;74.880214850306714;430;12.95205542161321;430;0.17321234580636838;430;9.6398815881832327;430;9.750053407391583
440;116.11682485427413;440;74.868007446516316;440;12.964262825403608;440;0.17344960365426484;440;9.6435438093203523;440;9.750053407391583
450;116.25110629596851;450;74.855800042725917;450;13.110751670888392;450;0.1737659474514601;450;9.6398815881832327;450;9.750053407391583
460;116.10461745048373;460;74.770348216193113;460;13.147373882259592;460;0.1740822912486554;460;9.645374919888912;460;9.750053407391583
470;116.27552110354931;470;74.733726004821918;470;13.086336863307595;470;0.17439863504585068;470;9.6398815881832327;470;9.750053407391583
480;116.3853877376629;480;74.745933408612316;480;13.074129459517197;480;0.17479406479234477;480;9.6426282540360724;480;9.750053407391583
490;116.25110629596851;490;74.806970427564323;490;13.086336863307595;490;0.17503132264024121;490;9.6401867732779927;490;9.750053407391583
500;116.26331369975891;500;74.868007446516316;500;13.147373882259592;500;0.1753476664374366;500;9.6404919583727526;500;9.750053407391583
510;116.26331369975891;510;74.782555619983512;510;13.098544267097994;510;0.17562446725998249;510;9.6423230689413124;510;9.750053407391583
520;116.19006927701652;520;74.587237159337135;520;13.000885036774804;520;0.17590126808252834;520;9.6414075136570325;520;9.750053407391583
530;116.17786187322612;530;74.501785332804346;530;13.037507248146001;530;0.1761780689050742;530;9.645680104983672;530;9.750053407391583
540;116.25110629596851;540;74.526200140385143;540;13.171788689840389;540;0.17645486972762006;540;9.6404919583727526;540;9.750053407391583
550;116.16565446943572;550;74.587237159337135;550;13.183996093630787;550;0.17681075649946476;550;9.6435438093203523;550;9.750053407391583
560;116.29993591113011;560;74.599444563127534;560;13.171788689840389;560;0.17716664327130946;560;9.6386608478041929;560;9.750053407391583
570;116.39759514145329;570;74.46516312143315;570;13.147373882259592;570;0.17748298706850471;570;9.6426282540360724;570;9.750053407391583
580;116.3609729300821;580;74.404126102481143;580;13.061922055726798;580;0.17772024491640118;580;9.6383556627094329;580;9.750053407391583
590;116.29993591113011;590;74.452955717642752;590;13.074129459517197;590;0.17807613168824593;590;9.6407971434675126;590;9.750053407391583
600;116.26331369975891;600;74.379711294900346;600;13.0497146519364;600;0.1783133895361424;600;9.6392712179937128;600;9.750053407391583
610;116.26331369975891;610;74.355296487319549;610;13.135166478469193;610;0.17859019035868826;610;9.6386608478041929;610;9.750053407391583
620;116.15344706564532;620;74.489577929013947;620;13.147373882259592;620;0.1787879052319353;620;9.6423230689413124;620;9.750053407391583
630;116.16565446943572;630;74.587237159337135;630;13.061922055726798;630;0.17902516307983174;630;9.6380504776146729;630;9.750053407391583
640;116.04358043153174;640;74.526200140385143;640;13.110751670888392;640;0.17934150687702702;640;9.6432386242255923;640;9.750053407391583
650;116.17786187322612;650;74.538407544175541;650;13.098544267097994;650;0.17957876472492348;650;9.6389660328989528;650;9.750053407391583
660;116.26331369975891;660;74.526200140385143;660;13.061922055726798;660;0.17989510852211876;660;9.6423230689413124;660;9.750053407391583
670;116.25110629596851;670;74.46516312143315;670;13.086336863307595;670;0.18025099529396343;670;9.637745292519913;670;9.750053407391583
680;116.26331369975891;680;74.477370525223549;680;13.086336863307595;680;0.18056733909115877;680;9.6411023285622726;680;9.750053407391583
690;116.21448408459732;690;74.416333506271556;690;13.086336863307595;690;0.18084413991370463;690;9.6392712179937128;690;9.750053407391583
700;116.20227668080692;700;74.440748313852353;700;13.183996093630787;700;0.18112094073625051;700;9.6401867732779927;700;9.750053407391583
710;116.17786187322612;710;74.440748313852353;710;13.147373882259592;710;0.18131865560949756;710;9.6404919583727526;710;9.750053407391583
720;116.15344706564532;720;74.477370525223549;720;13.074129459517197;720;0.18175362833064107;720;9.6380504776146729;720;9.750053407391583
730;116.03137302774134;730;74.526200140385143;730;13.086336863307595;730;0.18206997212783632;730;9.6423230689413124;730;9.750053407391583
740;116.19006927701652;740;74.55061494796594;740;13.098544267097994;740;0.18234677295038221;740;9.6383556627094329;740;9.750053407391583
750;116.29993591113011;750;74.538407544175541;750;13.135166478469193;750;0.18270265972222688;750;9.6432386242255923;750;9.750053407391583
