file_name,u_percent,uSensor_V,uValve_V,ps_bar,pa_bar,pb_bar,dp_bar,x_m,xdot_mps,Q_m3ps,Ad_m2
5prosent.csv,5,5.1635218701136,5.25009918515581,179.21046909982,17.4781020216711,19.1786085341504,161.732367078149,0.0877722159282944,0,0,0
10prosent.csv,10,5.42384601559991,5.50004577776421,178.994595093719,22.2511965472871,27.3155997317502,156.743398546432,0.0880342241963691,0,0,0
15prosent.csv,15,5.68600994903409,5.74999237037264,178.804987945189,26.4671749015779,34.8857911923581,152.337813043611,0.0882217868864739,0,0,0
20prosent.csv,20,5.95094822525388,6.00024414807581,178.693189842,29.6714976266646,1.32251297368375,149.021692215335,0.0883898635588267,0,0,0
25prosent.csv,25,6.21197223632057,6.25019074068425,178.120359169811,66.4655969896699,1.09183952551299,111.654762180141,0.0956599900697329,0.00105427578189765,1.86305909133785e-05,1.79598413266486e-07
30prosent.csv,30,6.47559683249173,6.50013733329263,176.86571777578,68.9599761486111,2.79551503114844,107.905741627169,0.119359427156906,0.00395353418211828,6.98647159252064e-05,6.85093917286553e-07
35prosent.csv,35,6.73990761575758,6.75008392590107,175.328787316011,71.9126247630163,4.46652032669195,103.416162552995,0.128679019851039,0.00777528389149864,0.000137400607986228,1.3762867736947e-06
40prosent.csv,40,7.00259236730182,7.00003051850945,173.610739634085,74.5283800339191,5.52074149742004,99.0823596001659,0.149390501767894,0.0115970336008806,0.000204936500047278,2.09717965402356e-06
45prosent.csv,45,7.26376075083317,7.24997711111791,171.742850374678,77.5402707869849,7.10229790137549,94.2025795876925,0.177314649232752,0.0155505677829976,0.000274801215972462,2.88404308086388e-06
50prosent.csv,50,7.52663297982534,7.50022888882108,170.255336784837,80.5740065965394,8.62652429467702,89.6813301882977,0.211017214720448,0.0192405330196436,0.000340008284169362,3.65723585603656e-06
55prosent.csv,55,7.79010837630737,7.7501754814295,168.961963887963,82.6328655571403,10.0070897130336,86.329098330823,0.218279997656146,0.0225351448380683,0.000398228880773573,4.36584830560115e-06
60prosent.csv,60,8.05318883580058,8.0001220740379,167.353461291596,84.8210786298583,11.3910456770771,82.532382661738,0.211541426615579,0.025961541129238,0.000458778301242093,5.14404984816321e-06
65prosent.csv,65,8.31758660385289,8.25006866664632,166.303035151068,86.3392517126855,12.5191664769528,79.9637834383819,0.226774180451794,0.0287290150567214,0.00050768360238975,5.78310343827634e-06
70prosent.csv,70,8.57938927504659,8.50001525925473,165.076600907909,88.9683080152734,14.0567813945945,76.1082928926357,0.239128030645992,0.0316941656933127,0.000560082139333699,6.53958552895949e-06
75prosent.csv,75,8.84401349635552,8.74996185186317,163.719474523143,91.8271817933526,15.7826720097421,71.8922927297902,0.253976101097211,0.0349228852753763,0.000617138324005958,7.41405563732442e-06
80prosent.csv,80,9.10747601753798,8.99990844447158,162.942401660624,94.0792265722835,16.8963197546833,68.8631750883407,0.276567118347721,0.0372950057846446,0.000659057153561035,8.0899166645255e-06
85prosent.csv,85,9.36791429344858,9.25016022217475,162.443635783514,95.6019081890856,17.4582400471373,66.8417275944287,0.28611942393554,0.0388764194574925,0.000687003039931127,8.55951814160081e-06
90prosent.csv,90,9.63264908054933,9.50010681478314,161.986163552294,96.9092521695154,17.8542000008719,65.0769113827785,0.307447764365813,0.0404578331303358,0.000714948926301138,9.02767764135679e-06
95prosent.csv,95,9.89780611114952,9.75005340739155,161.588172033678,97.5614143005257,18.2651655293155,64.0267577331522,0.291836074089778,0.0415121089122339,0.000733579517214525,9.33858191474773e-06
100prosent.csv,100,9.91064621174141,10,161.661806966888,97.6943833721806,17.9839766472632,63.9674235947076,0.338856688060322,0.0416438933849729,0.00073590834107873,9.37257203406596e-06
