Name;Scope Project1;
File;C:\Users\Tobno\Desktop\CBV_Mapping\Jib\OppCrack1.csv;
Starttime of export;134223619596660000;mandag 4. mai 2026;11:52:39.666
Endtime of export;134223619873060000;mandag 4. mai 2026;11:53:07.306


Name;fPresSupply_bar;Name;fPres1A_bar;Name;fPres1B_bar;Name;fCylinder1_mm;Name;fValve1_V;Name;fSensor1_V;Name;fPresCyl1A_bar;Name;fPresCyl1B_bar
110;151.50608844264048;110;36.475722525711845;110;78.493606372264779;110;24.523772531676819;110;5.00015259254738;110;4.9644459364604634;110;40.760521256141857;110;81.814020203253278
120;151.40842921231729;120;36.524552140873439;120;78.3227027191992;120;24.523772531676819;120;5.00015259254738;120;4.9650563066499833;120;40.833765678884248;120;81.875057222205271
130;151.3107699819941;130;36.475722525711845;130;78.2006286812952;130;24.484237189855644;130;5.00015259254738;130;4.9662770470290232;130;40.931424909207436;130;81.936094241157264
140;151.3351847895749;140;36.37806329538865;140;78.3227027191992;140;24.484237189855644;140;5.00015259254738;140;4.9647511215552234;140;40.73610644856106;140;81.923886837366865
150;151.40842921231729;150;36.426892910550251;150;78.432569353312786;150;24.563307873497997;150;5.00015259254738;150;4.9635303811761835;150;40.675069429609053;150;81.88726462599567
160;151.2863551744133;160;36.500137333292642;160;78.469191564683982;160;24.563307873497997;160;5.00015259254738;160;4.9638355662709435;160;40.833765678884248;160;81.814020203253278
170;151.2741477706229;170;36.463515121921446;170;78.310495315408787;170;24.523772531676819;170;5.00015259254738;170;4.9647511215552234;170;40.809350871303451;170;81.740775780510887
180;151.39622180852689;180;36.451307718131048;180;78.2128360850856;180;24.523772531676819;180;5.00015259254738;180;4.9665822321237831;180;40.784936063722654;180;81.789605395672481
190;151.42063661610769;190;36.439100314340649;190;78.2372508926664;190;24.563307873497997;190;5.00015259254738;190;4.9647511215552234;190;40.797143467513052;190;81.814020203253278
200;151.34739219336529;200;36.548966948454236;200;78.2006286812952;200;24.563307873497997;200;5.00015259254738;200;4.9641407513657034;200;40.662862025818654;200;81.814020203253278
210;151.42063661610769;210;36.610003967406229;210;78.1517990661336;210;24.523772531676819;210;5.00015259254738;210;4.9647511215552234;210;40.61403241065706;210;81.789605395672481
220;151.38401440473649;220;36.512344737083041;220;78.2372508926664;220;24.523772531676819;220;5.00015259254738;220;4.9662770470290232;220;40.662862025818654;220;81.765190588091684
230;151.20090334788051;230;36.536759544663838;230;78.469191564683982;230;24.523772531676819;230;5.00015259254738;230;4.9650563066499833;230;40.723899044770661;230;81.752983184301286
240;151.2985625782037;240;36.585589159825432;240;78.34711752678;240;24.523772531676819;240;5.00015259254738;240;4.9641407513657034;240;40.760521256141857;240;81.826227607043677
250;151.43284401989808;250;36.512344737083041;250;78.2494582964568;250;24.563307873497997;250;5.00015259254738;250;4.9638355662709435;250;40.797143467513052;250;81.777397991882083
260;151.40842921231729;260;36.585589159825432;260;78.3715323343608;260;24.523772531676819;260;5.00015259254738;260;4.9656666768395032;260;40.809350871303451;260;81.850642414624474
270;151.43284401989808;270;36.536759544663838;270;78.298287911618388;270;24.523772531676819;270;5.00015259254738;270;4.9659718619342632;270;40.809350871303451;270;81.936094241157264
280;151.40842921231729;280;36.414685506759845;280;78.2006286812952;280;24.523772531676819;280;5.00015259254738;280;4.9635303811761835;280;40.809350871303451;280;81.838435010834075
290;151.37180700094609;290;36.414685506759845;290;78.28608050782799;290;24.523772531676819;290;5.00015259254738;290;4.9635303811761835;290;40.748313852351458;290;81.850642414624474
300;151.48167363505968;300;36.536759544663838;300;78.3349101229896;300;24.563307873497997;300;5.00015259254738;300;4.9650563066499833;300;40.69948423718985;300;81.704153569139692
310;151.43284401989808;310;36.561174352244635;310;78.225043488876;310;24.563307873497997;310;5.00015259254738;310;4.9659718619342632;310;40.723899044770661;310;81.6064943388165
320;151.3351847895749;320;36.548966948454236;320;78.1762138737144;320;24.563307873497997;320;5.00015259254738;320;4.9638355662709435;320;40.784936063722654;320;81.6797387615589
330;151.2741477706229;330;36.585589159825432;330;78.2372508926664;330;24.563307873497997;330;5.00015259254738;330;4.9647511215552234;330;40.845973082674647;330;81.814020203253278
340;151.23752555925171;340;36.548966948454236;340;78.2006286812952;340;24.563307873497997;340;5.00015259254738;340;4.9647511215552234;340;40.821558275093849;340;81.728568376720489
350;151.2741477706229;350;36.59779656361583;350;78.2006286812952;350;24.523772531676819;350;5.00015259254738;350;4.9650563066499833;350;40.821558275093849;350;81.6553239539781
360;151.3351847895749;360;36.671040986358229;360;78.28608050782799;360;24.563307873497997;360;5.00015259254738;360;4.9650563066499833;360;40.748313852351458;360;81.826227607043677
370;151.3107699819941;370;36.671040986358229;370;78.273873104037591;370;24.563307873497997;370;5.00015259254738;370;4.9635303811761835;370;40.723899044770661;370;81.936094241157264
380;151.38401440473649;380;36.610003967406229;380;78.3349101229896;380;24.563307873497997;380;5.00015259254738;380;4.9638355662709435;380;40.894802697836241;380;81.923886837366865
390;151.46946623126928;390;36.585589159825432;390;78.3227027191992;390;24.563307873497997;390;5.00015259254738;390;4.9650563066499833;390;40.894802697836241;390;81.862849818414873
400;151.37180700094609;400;36.646626178777431;400;78.2494582964568;400;24.563307873497997;400;5.00015259254738;400;4.9662770470290232;400;40.797143467513052;400;81.765190588091684
410;151.3107699819941;410;36.59779656361583;410;78.383739738151192;410;24.563307873497997;410;5.00015259254738;410;4.9641407513657034;410;40.73610644856106;410;81.6553239539781
420;151.3229773857845;420;36.451307718131048;420;78.395947141941591;420;24.523772531676819;420;5.00015259254738;420;4.9641407513657034;420;40.675069429609053;420;81.6675313577685
430;151.40842921231729;430;36.536759544663838;430;78.2372508926664;430;24.523772531676819;430;5.00015259254738;430;4.9638355662709435;430;40.662862025818654;430;81.6797387615589
440;151.2741477706229;440;36.683248390148627;440;78.2006286812952;440;24.523772531676819;440;5.00015259254738;440;4.9656666768395032;440;40.69948423718985;440;81.704153569139692
450;151.2863551744133;450;36.646626178777431;450;78.2494582964568;450;24.523772531676819;450;5.00015259254738;450;4.9662770470290232;450;40.69948423718985;450;81.826227607043677
460;151.3229773857845;460;36.59779656361583;460;78.2494582964568;460;24.484237189855644;460;5.00015259254738;460;4.9638355662709435;460;40.662862025818654;460;81.862849818414873
470;151.3107699819941;470;36.561174352244635;470;78.310495315408787;470;24.523772531676819;470;5.00015259254738;470;4.9629200109866636;470;40.723899044770661;470;81.704153569139692
480;151.51829584643087;480;36.646626178777431;480;78.3227027191992;480;24.523772531676819;480;5.00015259254738;480;4.9647511215552234;480;40.760521256141857;480;81.740775780510887
490;151.60374767296366;490;36.707663197729424;490;78.2128360850856;490;24.563307873497997;490;5.00015259254738;490;4.9665822321237831;490;40.73610644856106;490;81.862849818414873
500;151.39622180852689;500;36.646626178777431;500;78.2128360850856;500;24.523772531676819;500;5.00015259254738;500;4.9650563066499833;500;40.723899044770661;500;81.826227607043677
510;151.2741477706229;510;36.671040986358229;510;78.28608050782799;510;24.523772531676819;510;5.00015259254738;510;4.9650563066499833;510;40.748313852351458;510;81.850642414624474
520;151.3229773857845;520;36.695455793939026;520;78.2006286812952;520;24.563307873497997;520;5.00106814783166;520;4.9641407513657034;520;40.784936063722654;520;81.752983184301286
530;151.37180700094609;530;36.59779656361583;530;78.225043488876;530;24.484237189855644;530;5.0022888882107;530;4.9644459364604634;530;40.760521256141857;530;81.777397991882083
540;151.3229773857845;540;36.475722525711845;540;78.310495315408787;540;24.405166506213291;540;5.00320444349498;540;4.9641407513657034;540;40.711691640980249;540;81.838435010834075
550;151.3107699819941;550;36.512344737083041;550;78.298287911618388;550;24.523772531676819;550;5.0041199987792595;550;4.9650563066499833;550;40.711691640980249;550;81.6919461653493
560;151.2985625782037;560;36.561174352244635;560;78.298287911618388;560;24.563307873497997;560;5.0050355540635394;560;4.9659718619342632;560;40.73610644856106;560;81.740775780510887
570;151.3107699819941;570;36.610003967406229;570;78.2494582964568;570;24.563307873497997;570;5.0062562944425792;570;4.9629200109866636;570;40.73610644856106;570;81.704153569139692
580;151.3351847895749;580;36.646626178777431;580;78.2006286812952;580;24.563307873497997;580;5.0071718497268591;580;4.9635303811761835;580;40.833765678884248;580;81.6187017426069
590;151.24973296304211;590;36.719870601519823;590;78.2006286812952;590;24.563307873497997;590;5.008087405011139;590;4.9650563066499833;590;40.760521256141857;590;81.6797387615589
600;151.37180700094609;600;36.854152043214214;600;78.1884212775048;600;24.602843215319172;600;5.0090029602954189;600;4.9662770470290232;600;40.662862025818654;600;81.740775780510887
610;151.38401440473649;610;36.902981658375808;610;78.1517990661336;610;24.523772531676819;610;5.0102237006744588;610;4.9647511215552234;610;40.73610644856106;610;81.6675313577685
620;151.3229773857845;620;36.866359447004612;620;78.298287911618388;620;24.523772531676819;620;5.0111392559587387;620;4.9644459364604634;620;40.73610644856106;620;81.6797387615589
630;151.44505142368848;630;36.671040986358229;630;78.34711752678;630;24.484237189855644;630;5.0120548112430185;630;4.9641407513657034;630;40.784936063722654;630;81.740775780510887
640;151.40842921231729;640;36.707663197729424;640;78.310495315408787;640;24.484237189855644;640;5.0132755516220584;640;4.9659718619342632;640;40.797143467513052;640;81.728568376720489
650;151.23752555925171;650;36.756492812891018;650;78.139591662343207;650;24.563307873497997;650;5.0141911069063383;650;4.9662770470290232;650;40.797143467513052;650;81.704153569139692
660;151.34739219336529;660;36.634418774987033;660;78.078554643391215;660;24.523772531676819;660;5.0151066621906182;660;4.9641407513657034;660;40.748313852351458;660;81.814020203253278
670;151.43284401989808;670;36.646626178777431;670;78.2372508926664;670;24.523772531676819;670;5.0160222174748981;670;4.9638355662709435;670;40.675069429609053;670;81.850642414624474
680;151.44505142368848;680;36.610003967406229;680;78.2494582964568;680;24.523772531676819;680;5.0172429578539379;680;4.9647511215552234;680;40.73610644856106;680;81.752983184301286
690;151.34739219336529;690;36.610003967406229;690;78.1517990661336;690;24.523772531676819;690;5.0181585131382178;690;4.9665822321237831;690;40.760521256141857;690;81.704153569139692
700;151.20090334788051;700;36.622211371196634;700;78.1884212775048;700;24.563307873497997;700;5.0190740684224977;700;4.9650563066499833;700;40.69948423718985;700;81.862849818414873
710;151.20090334788051;710;36.683248390148627;710;78.2128360850856;710;24.523772531676819;710;5.0202948088015384;710;4.9647511215552234;710;40.638447218237857;710;81.850642414624474
720;151.20090334788051;720;36.719870601519823;720;78.1884212775048;720;24.523772531676819;720;5.0212103640858183;720;4.9638355662709435;720;40.675069429609053;720;81.6797387615589
