Name;Scope Project1;
File;C:\Users\Tobno\Desktop\CBV_Mapping\Jib\OppPOPEN90.csv;
Starttime of export;134223624689660000;mandag 4. mai 2026;12:01:08.966
Endtime of export;134223624922060000;mandag 4. mai 2026;12:01:32.206


Name;fPresSupply_bar;Name;fPres1A_bar;Name;fPres1B_bar;Name;fCylinder1_mm;Name;fValve1_V;Name;fSensor1_V;Name;fPresCyl1A_bar;Name;fPresCyl1B_bar
150;151.13986632892849;150;32.300790429395427;150;79.3969542527543;150;39.349525714618679;150;5.00015259254738;150;4.9693288979766228;150;45.204016235847035;150;84.377574999237041
160;151.1032441175573;160;32.27637562181463;160;79.3847468489639;160;39.38906105643985;160;5.00015259254738;160;4.9714651936399425;160;45.16739402447584;160;84.328745384075447
170;151.12765892513809;170;32.398449659718622;170;79.3359172338023;170;39.38906105643985;170;5.00015259254738;170;4.9732963042085023;170;45.204016235847035;170;84.511856440931425
180;151.1032441175573;180;32.300790429395427;180;79.3969542527543;180;39.38906105643985;180;5.00015259254738;180;4.9714651936399425;180;45.252845851008637;180;84.536271248512222
190;151.1032441175573;190;32.325205236976231;190;79.4091616565447;190;39.428596398261035;190;5.00015259254738;190;4.9705496383556627;190;45.16739402447584;190;84.438612018189033
200;151.0666219061861;200;32.483901486251412;200;79.4335764641255;200;39.468131740082214;200;5.00015259254738;200;4.9696340830713828;200;45.240638447218238;200;84.609515671254627
210;151.1032441175573;210;32.361827448347427;210;79.4091616565447;210;39.428596398261035;210;5.00015259254738;210;4.9705496383556627;210;45.350505081331825;210;84.54847865230262
220;151.0666219061861;220;32.349620044557028;220;79.29929502243111;220;39.428596398261035;220;5.00015259254738;220;4.9702444532609027;220;45.240638447218238;220;84.450819421979432
230;151.01779229102451;230;32.410657063509021;230;79.3481246375927;230;39.349525714618679;230;5.00015259254738;230;4.9717703787347025;230;45.142979216895043;230;84.54847865230262
240;150.98117007965331;240;32.410657063509021;240;79.4091616565447;240;39.349525714618679;240;5.00015259254738;240;4.9742118594927822;240;45.240638447218238;240;84.511856440931425
250;151.0910367137669;250;32.398449659718622;250;79.4091616565447;250;39.38906105643985;250;5.00015259254738;250;4.9705496383556627;250;45.338297677541426;250;84.524063844721823
260;151.11545152134769;260;32.398449659718622;260;79.3603320413831;260;39.349525714618679;260;5.00015259254738;260;4.9687185277871029;260;45.313882869960629;260;84.682760093997018
270;151.11545152134769;270;32.410657063509021;270;79.445783867915893;270;39.270455030976265;270;5.00015259254738;270;4.9690237128818628;270;45.301675466170231;270;84.682760093997018
280;151.11545152134769;280;32.447279274880216;280;79.482406079287088;280;39.38906105643985;280;5.00015259254738;280;4.9717703787347025;280;45.301675466170231;280;84.524063844721823
290;151.0544145023957;290;32.483901486251412;290;79.3481246375927;290;39.38906105643985;290;5.0450148014770955;290;4.9708548234504226;290;45.265053254799035;290;84.438612018189033
300;151.13986632892849;300;32.508316293832209;300;79.311502426221509;300;39.349525714618679;300;5.0901821955015709;300;4.9717703787347025;300;45.216223639637441;300;84.511856440931425
310;151.16428113650929;310;32.5693533127842;310;79.287087618640712;310;39.38906105643985;310;5.1350444044312873;310;4.9717703787347025;310;45.216223639637441;310;84.487441633350628
320;151.20090334788051;320;32.49610889004181;320;79.201635792107922;320;39.38906105643985;320;5.1802117984557636;320;4.9693288979766228;320;45.204016235847035;320;84.340952787865845
330;151.11545152134769;330;32.593768120365;330;79.274880214850313;330;39.38906105643985;330;5.22507400738548;330;4.9693288979766228;330;45.313882869960629;330;84.365367595446642
340;151.01779229102451;340;32.5571459089938;340;79.4091616565447;340;39.349525714618679;340;5.2702414014099555;340;4.9687185277871029;340;45.252845851008637;340;84.524063844721823
