Name;Scope Project1;
File;C:\Users\Tobno\Desktop\VentilDeadband\JibOpp\21prosent.csv;
Starttime of export;134214131193500000;torsdag 23. april 2026;12:18:39.350
Endtime of export;134214131341596696;torsdag 23. april 2026;12:18:54.159


Name;fPresSupply_bar;Name;fPres1A_bar;Name;fPres1B_bar;Name;fCylinder1_mm;Name;fValve1_V;Name;fSensor1_V

0;153.43485824152347;0;55.568102053895686;0;0.64699240089114041;0;80.110463132253386;0;6.0499893185216838;0;5.9987182226020082
10;153.33719901120028;10;55.53147984252449;10;0.68361461226233711;10;80.189533815895729;10;6.0499893185216838;10;6.0014648884548478
20;153.37382122257148;20;55.580309457686084;20;0.74465163121433142;20;80.149998474074565;20;6.0499893185216838;20;5.9990234076967681
30;153.52031006805629;30;55.53147984252449;30;0.70802941984313483;30;80.189533815895729;30;6.0499893185216838;30;5.999938962981048
40;153.47148045289467;40;55.494857631153295;40;0.65919980468153938;40;80.189533815895729;40;6.0499893185216838;40;5.999938962981048
50;153.47148045289467;50;55.519272438734092;50;0.74465163121433142;50;80.110463132253386;50;6.0499893185216838;50;5.9971922971282083
60;153.36161381878108;60;55.568102053895686;60;0.7568590350047304;60;80.070927790432208;60;6.0499893185216838;60;6.0005493331705679
70;153.45927304910427;70;55.519272438734092;70;0.72023682363353381;70;80.110463132253386;70;6.0499893185216838;70;5.9993285927915281
80;153.47148045289467;80;55.543687246314889;80;0.69582201605273586;80;80.149998474074565;80;6.0499893185216838;80;6.000244148075808
90;153.42265083773307;90;55.580309457686084;90;0.70802941984313483;90;80.110463132253386;90;6.0499893185216838;90;5.999633777886288
100;153.43485824152347;100;55.53147984252449;100;0.64699240089114041;100;80.110463132253386;100;6.0499893185216838;100;6.0023804437391277
110;153.38602862636188;110;55.592516861476483;110;0.68361461226233711;110;80.149998474074565;110;6.0499893185216838;110;5.9993285927915281
120;153.38602862636188;120;55.604724265266881;120;0.73244422742393267;120;80.149998474074565;120;6.0499893185216838;120;6.0020752586443678
130;153.34940641499068;130;55.67796868800928;130;0.74465163121433142;130;80.110463132253386;130;6.0499893185216838;130;5.9993285927915281
140;153.37382122257148;140;55.629139072847678;140;0.68361461226233711;140;80.110463132253386;140;6.0499893185216838;140;5.999633777886288
150;153.50810266426586;150;55.519272438734092;150;0.65919980468153938;150;80.110463132253386;150;6.0499893185216838;150;6.0011597033600879
160;153.54472487563709;160;55.580309457686084;160;0.73244422742393267;160;80.149998474074565;160;6.0499893185216838;160;5.9974974822229683
170;153.39823603015228;170;55.629139072847678;170;0.73244422742393267;170;80.149998474074565;170;6.0499893185216838;170;6.0005493331705679
180;153.37382122257148;180;55.665761284218881;180;0.70802941984313483;180;80.149998474074565;180;6.0499893185216838;180;5.9965819269386884
190;153.30057679982909;190;55.653553880428476;190;0.72023682363353381;190;80.149998474074565;190;6.0499893185216838;190;5.9990234076967681
200;153.30057679982909;200;55.604724265266881;200;0.74465163121433142;200;80.110463132253386;200;6.0499893185216838;200;5.9971922971282083
210;153.36161381878108;210;55.592516861476483;210;0.65919980468153938;210;80.189533815895729;210;6.0499893185216838;210;5.9993285927915281
220;153.42265083773307;220;55.604724265266881;220;0.64699240089114041;220;80.149998474074565;220;6.0499893185216838;220;5.9990234076967681
230;153.53251747184669;230;55.665761284218881;230;0.65919980468153938;230;80.149998474074565;230;6.0499893185216838;230;5.9987182226020082
240;153.52031006805629;240;55.739005706961272;240;0.74465163121433142;240;80.189533815895729;240;6.0499893185216838;240;6.000244148075808
