fileName,u_meas_pct,u_cmd_V_mean,u_meas_V_mean,dp_bar_mean,Q_Lmin_mean,Kv_mean,Kv_median,nPointsUsed
20prosent.csv,19.0160832544938,6.00024414807581,5.9505778227769,110.820470076126,0.203363263497329,0.0193316877608577,0.0186677237901637,449
21prosent.csv,19.9865718558306,6.0499893185217,5.99915351292138,93.2235309487133,0.13391632083099,0.0138744636614905,0.0138874699355657,570
22prosent.csv,21.0608233893857,6.10003967406234,6.05313887261114,94.7295192807818,0.140520381317477,0.0144419651715307,0.0138055005381593,556
23prosent.csv,22.1472823267312,6.15009002960298,6.10744432828216,95.9513708672396,0.135002488258381,0.0137870155406966,0.013608655736189,643
23-2prosent.csv,22.324289681692,6.16016113773003,6.11581893115299,94.3445587227502,0.134031069928608,0.0138118479408357,0.0137340366174649,591
23-4prosent.csv,22.5440229499191,6.17023224585713,6.12713194195403,89.3400888531088,0.142445069742273,0.0150722331216708,0.014300354647688,538
23-6prosent.csv,22.7576525162511,6.17999816888946,6.13773372130258,87.8124101905267,0.168583044538236,0.0179878107930335,0.0144465560154222,662
23-8prosent.csv,22.9712820825831,6.19006927701653,6.14847034026257,87.8810998870815,0.180562728729326,0.0192572663055457,0.0144415264027584,843
24prosent.csv,23.1421857356487,6.20014038514362,6.156938262264,87.3464276876004,0.225469503390404,0.0241240099759188,0.0217061572792831,1010
25prosent.csv,24.222540971099,6.25019074068425,6.21120278134066,83.620481553229,0.378209221319473,0.0413604754235748,0.0370360344841371,677
