Name;Scope Project1;
File;C:\Users\Tobno\Desktop\VentilDeadband\MainNed\-21-2.csv;
Starttime of export;134214175299400000;torsdag 23. april 2026;13:32:09.940
Endtime of export;134214175453795314;torsdag 23. april 2026;13:32:25.379


Name;fPresSupply_bar (1);Name;fPres2A_bar;Name;fPres2B_bar;Name;fCylinder2_mm;Name;fValve2_V;Name;fSensor2_V

0;153.06863612781152;0;0;0;3.2593768120365003;0;504.81973121632592;0;3.9402447584459974;0;4.0446180608539075
10;153.00759910885952;10;0;10;3.2471694082461013;10;504.9383601402742;10;3.9402447584459974;10;4.0397350993377481
20;152.94656208990753;20;0;20;3.2959990234076968;20;504.89881716562479;20;3.9402447584459974;20;4.032410657063509
30;152.87331766716514;30;0.012207403790398877;30;3.3082064271980958;30;504.89881716562479;30;3.9402447584459974;30;4.0452284310434274
40;152.73903622547076;40;0;40;3.3448286385692922;40;504.89881716562479;40;3.9402447584459974;40;4.0418713950010678
50;152.97097689748833;50;0;50;3.4669026764732811;50;504.81973121632592;50;3.9402447584459974;50;4.0357676931058686
60;153.10525833918271;60;0;60;3.5157322916348765;60;504.9383601402742;60;3.9402447584459974;60;4.0375988036744284
70;153.08084353160191;70;0;70;3.4424878688924831;70;504.9383601402742;70;3.9402447584459974;70;4.0458388012329474
80;152.95876949369793;80;0;80;3.4424878688924831;80;504.9383601402742;80;3.9402447584459974;80;4.040650654622028
90;152.95876949369793;90;0;90;3.3936582537308877;90;504.9383601402742;90;3.9402447584459974;90;4.032105471968749
100;153.06863612781152;100;0;100;3.4180730613116856;100;504.89881716562479;100;3.9402447584459974;100;4.0433973204748677
110;152.87331766716514;110;0;110;3.4669026764732811;110;504.89881716562479;110;3.9402447584459974;110;4.0430921353801077
120;152.89773247474594;120;0;120;3.503524887844478;120;504.97790311492355;120;3.9402447584459974;120;4.0375988036744284
130;152.98318430127873;130;0;130;3.58897671437727;130;504.89881716562479;130;3.9402447584459974;130;4.0327158421582689
140;152.97097689748833;140;0;140;3.527939695425276;140;504.89881716562479;140;3.9402447584459974;140;4.0452284310434274
150;152.94656208990753;150;0;150;3.58897671437727;150;504.9383601402742;150;3.9402447584459974;150;4.040345469527268
160;153.11746574297311;160;0;160;3.7354655598620563;160;504.89881716562479;160;3.9402447584459974;160;4.0348521378215887
170;153.09305093539231;170;0;170;3.6500137333292644;170;504.89881716562479;170;3.9402447584459974;170;4.040345469527268
180;152.86111026337474;180;0;180;3.5401470992156745;180;504.89881716562479;180;3.9402447584459974;180;4.0458388012329474
190;152.71462141788993;190;0;190;3.6133915219580675;190;504.89881716562479;190;3.9402447584459974;190;4.0400402844325081
200;152.82448805200355;200;0;200;3.6011841181676689;200;504.89881716562479;200;3.9402447584459974;200;4.0308847315897092
210;152.94656208990753;210;0;210;3.6622211371196629;210;504.89881716562479;210;3.9402447584459974;210;4.0449232459486675
220;152.88552507095554;220;0;220;3.7110507522812588;220;504.81973121632592;220;3.9402447584459974;220;4.0430921353801077
230;153.06863612781152;230;0;230;3.7354655598620563;230;504.9383601402742;230;3.9402447584459974;230;4.0369884334849084
240;153.11746574297311;240;0;240;3.8453321939756466;240;504.9383601402742;240;3.9402447584459974;240;4.0333262123477889
250;153.01980651264992;250;0;250;3.7842951750236518;250;504.81973121632592;250;3.9402447584459974;250;4.0458388012329474
260;152.73903622547076;260;0;260;3.8087099826044497;260;504.9383601402742;260;3.9402447584459974;260;4.0394299142429881
270;152.82448805200355;270;0;270;3.7842951750236518;270;504.97790311492355;270;3.9402447584459974;270;4.0311899166844691
280;153.14188055055391;280;0.012207403790398877;280;3.7965025788140512;280;504.97790311492355;280;3.9402447584459974;280;4.040345469527268
290;153.01980651264992;290;0.012207403790398877;290;3.8819544053468427;290;504.89881716562479;290;3.9402447584459974;290;4.0452284310434274
300;152.87331766716514;300;0;300;3.9429914242988375;300;504.9383601402742;300;3.9402447584459974;300;4.0388195440534682
310;152.95876949369793;310;0;310;3.91857661671804;310;504.9383601402742;310;3.9402447584459974;310;4.0299691763054293
320;153.09305093539231;320;0;320;3.8575395977660452;320;504.81973121632592;320;3.9402447584459974;320;4.0440076906643876
330;152.87331766716514;330;0;330;3.91857661671804;330;504.81973121632592;330;3.9402447584459974;330;4.040650654622028
340;152.92214728232673;340;0;340;3.9551988280892361;340;504.89881716562479;340;3.9402447584459974;340;4.0339365825373088
350;152.97097689748833;350;0;350;3.9551988280892361;350;504.9383601402742;350;3.9402447584459974;350;4.0339365825373088
360;153.00759910885952;360;0;360;3.991821039460433;360;504.89881716562479;360;3.9402447584459974;360;4.0458388012329474
