file_name,u_percent,uV_ref,uV_sensor,uV_error,ps_bar,pa_bar,pb_bar,dp_bar,x_m,xdot_mps,Q_m3ps,Ad_m2,Kv_Lmin_sqrtbar
-100prosent.csv,-100,0.112481248723505,0,-0.112481248723505,175.358455544313,52.6390685437898,138.066832405649,37.2916231386643,0.339983954208134,-0.0484747376767471,0.000593922731102848,9.90692317002635e-06,5.83546615189326
-95prosent.csv,-95,0.357191243326684,0.249946592608417,-0.107244650718266,175.430450534061,51.9471565487374,136.907264683381,38.52318585068,0.347544342828555,-0.0480567078646206,0.000588800941494491,9.66322048367318e-06,5.69191817509638
-90prosent.csv,-90,0.609005410606124,0.499893185216834,-0.10911222538929,175.54522586484,51.0327976847434,135.308475078381,40.2367507864587,0.345107515770722,-0.0475241755059651,0.000582276242486062,9.35044134483018e-06,5.50768215686835
-85prosent.csv,-85,0.857349001037055,0.750144962920013,-0.107204038117041,175.657976185198,49.5512109226322,132.80096000866,42.8570161765375,0.358989120397378,-0.0466530351994021,0.000571602847335419,8.894016054085e-06,5.23883437342436
-80prosent.csv,-80,1.10396329846626,1.00009155552843,-0.103871742937828,175.895785857414,47.3716545371687,129.209832007839,46.6859538495752,0.378458737516183,-0.0453321160866593,0.000555418667191161,8.28021940803698e-06,4.87729028040105
-75prosent.csv,-75,1.35359742337271,1.25003814813684,-0.103559275235866,176.100138198384,44.110804777901,123.273295174783,52.8268430236009,0.366256633295717,-0.0432495311749255,0.000529902396700359,7.42648051641034e-06,4.37441321966889
-70prosent.csv,-70,1.60628555798531,1.49998474074527,-0.106300817240047,176.641863009542,40.0552527631373,116.609182534628,60.0326804749136,0.36645686729128,-0.0409140478628002,0.000501287561558137,6.5903359233983e-06,3.88189971301601
-65prosent.csv,-65,1.85414267614695,1.74993133335368,-0.104211342793263,176.865555692201,36.8784218123341,111.224701742002,65.6408539501981,0.380789393536825,-0.0387081226363925,0.000474260099464099,5.96271384749479e-06,3.51221203932972
-60prosent.csv,-60,2.10368135937998,2.00018311105686,-0.103498248323119,177.154756509356,33.1768713051569,104.860092599433,72.2946639099231,0.386459403847301,-0.0360450695410918,0.000441631810106866,5.29080453295477e-06,3.11643789282145
-55prosent.csv,-55,2.35336509098881,2.25012970366527,-0.103235387323538,177.534153681812,28.8450803603095,97.6384269969273,79.8957266848846,0.413886261974929,-0.0327610770041812,0.000401395639476098,4.57430760267398e-06,2.69440034263242
-50prosent.csv,-50,2.60197010554517,2.50007629627368,-0.101893809271487,177.972261172843,24.0173067100427,89.8012245850596,88.171036587783,0.411873054607743,-0.0288507300108372,0.00035348524166572,3.83462415854901e-06,2.25870526079647
-45prosent.csv,-45,2.85451487438242,2.75002288888211,-0.104491985500314,178.710215126427,18.2646981743634,80.3141807887436,98.396034337683,0.446486390071557,-0.0244840297413129,0.000299983507065772,3.08051318127408e-06,1.814511941929
-40prosent.csv,-40,3.10347568705827,2.99996948149054,-0.10350620556773,179.238814760071,12.7563451692912,70.6403071976667,108.598507562404,0.452725001507296,-0.019288532762469,0.000236327180017884,2.31002263478016e-06,1.36067057995879
-35prosent.csv,-35,3.35169737459344,3.25022125919371,-0.101476115399727,179.789703993934,7.30976300927419,61.2837631724998,118.505940821434,0.452924273835511,-0.013603705588652,0.000166675476001739,1.55961044066878e-06,0.918655952051538
-30prosent.csv,-30,3.60072992769211,3.50016785180213,-0.100562075889984,180.264149012886,3.43999340844346,53.5365075048216,126.727641508065,0.490593341640513,-0.00791790920971745,9.70118970796533e-05,8.77816646182309e-07,0.517059559103424
-25prosent.csv,-25,3.84866379792678,3.75011444441054,-0.0985493535162374,180.754378594447,0.611430761835067,46.7871909703305,133.967187624117,0.538356520641771,-0.0028740117083504,3.52129988702102e-05,3.09897650523655e-07,0.182538737723675
-20prosent.csv,-20,4.09860489170465,4.00006103701895,-0.098543854685702,180.978362926665,0.000769836275070199,0.677016015618878,180.301346911046,0.551322803768555,-1.62319305671418e-05,1.98877043910918e-07,1.5086887835008e-09,0.000888661613577097
-15prosent.csv,-15,4.35035868281596,4.25000762962736,-0.1003510531886,181.053915753816,0.000283893111404625,0.175600793636097,180.87831496018,0.551452184377829,-7.44394834648683e-06,0,0,0
-10prosent.csv,-10,4.5984331740191,4.50025940733054,-0.0981737666885687,181.050971900439,0.000319446080496419,0.177110034058086,180.873861866381,0.551553909932165,-3.8716158152012e-06,0,0,0
-5prosent.csv,-5,4.84902892027437,4.75020599993896,-0.0988229203354143,181.184816519147,0.000412412290216178,0.1743679163034,181.010448602843,0.55170745716385,-4.70298245512186e-07,0,0,0
