Name;YT Scope Project;
File;C:\Users\Tobno\Desktop\Kv Tester\MainNed180bar\-10prosent.csv;
Starttime of export;134212433559690000;tirsdag 21. april 2026;13:09:15.969
Endtime of export;134212433613112341;tirsdag 21. april 2026;13:09:21.311


Name;fPresSupply_bar (1);Name;fPres2A_bar;Name;fPres2B_bar;Name;fCylinder2_m;Name;fSensor2_V;Name;fValve2_V

0;181.13345744193853;0;0;0;0.14648884548478652;0;0.55148044130263052;0;4.5988341929380168;0;4.500259407330546
10;181.04800561540574;10;0;10;0.14648884548478652;10;0.55151998427728;10;4.5985290078432568;10;4.500259407330546
20;180.92593157750176;20;0;20;0.15869624927518539;20;0.55144089832798115;20;4.5872371593371382;20;4.500259407330546
30;181.02359080782495;30;0;30;0.17090365306558428;30;0.55148044130263052;30;4.5963927121799371;30;4.500259407330546
40;180.87710196234016;40;0;40;0.17090365306558428;40;0.55159907022657872;40;4.596697897274697;40;4.500259407330546
50;180.95034638508255;50;0;50;0.17090365306558428;50;0.55148044130263052;50;4.6031067842646571;50;4.500259407330546
60;181.13345744193853;60;0;60;0.15869624927518539;60;0.55148044130263052;60;4.5942564165166173;60;4.500259407330546
70;181.15787224951933;70;0;70;0.15869624927518539;70;0.55151998427728;70;4.5924253059480575;70;4.500259407330546
80;181.13345744193853;80;0;80;0.17090365306558428;80;0.55159907022657872;80;4.5915097506637776;80;4.500259407330546
90;181.01138340403455;90;0;90;0.15869624927518539;90;0.55159907022657872;90;4.6009704886013374;90;4.500259407330546
100;181.08462782677694;100;0;100;0.17090365306558428;100;0.55151998427728;100;4.6055482650227368;100;4.500259407330546
110;181.08462782677694;110;0;110;0.17090365306558428;110;0.55151998427728;110;4.5942564165166173;110;4.500259407330546
120;181.07242042298654;120;0;120;0.15869624927518539;120;0.55151998427728;120;4.5963927121799371;120;4.500259407330546
130;180.97476119266335;130;0;130;0.17090365306558428;130;0.55151998427728;130;4.5918149357585376;130;4.500259407330546
140;181.07242042298654;140;0;140;0.17090365306558428;140;0.5516386132012282;140;4.6031067842646571;140;4.500259407330546
150;181.14566484572893;150;0;150;0.18311105685598317;150;0.55159907022657872;150;4.6009704886013374;150;4.500259407330546
160;181.17007965330973;160;0;160;0.20752586443678089;160;0.55159907022657872;160;4.6009704886013374;160;4.500259407330546
170;181.10904263435773;170;0;170;0.20752586443678089;170;0.55159907022657872;170;4.5893734550004579;170;4.500259407330546
180;181.02359080782495;180;0;180;0.20752586443678089;180;0.55159907022657872;180;4.5957823419904171;180;4.500259407330546
190;181.06021301919614;190;0;190;0.20752586443678089;190;0.55159907022657872;190;4.6009704886013374;190;4.500259407330546
200;181.03579821161534;200;0;200;0.20752586443678089;200;0.55148044130263052;200;4.6024964140751372;200;4.500259407330546
210;181.14566484572893;210;0;210;0.20752586443678089;210;0.55151998427728;210;4.6018860438856173;210;4.500259407330546
220;181.10904263435773;220;0;220;0.20752586443678089;220;0.55151998427728;220;4.5912045655690177;220;4.500259407330546
230;181.12125003814813;230;0;230;0.18311105685598317;230;0.55148044130263052;230;4.596697897274697;230;4.500259407330546
240;181.02359080782495;240;0;240;0.18311105685598317;240;0.55151998427728;240;4.5954771568956572;240;4.500259407330546
250;181.12125003814813;250;0;250;0.18311105685598317;250;0.55151998427728;250;4.604022339548937;250;4.500259407330546
260;181.04800561540574;260;0;260;0.18311105685598317;260;0.55151998427728;260;4.5979186376537369;260;4.500259407330546
270;181.02359080782495;270;0;270;0.15869624927518539;270;0.55151998427728;270;4.5985290078432568;270;4.500259407330546
280;181.02359080782495;280;0;280;0.17090365306558428;280;0.55151998427728;280;4.5918149357585376;280;4.500259407330546
290;181.04800561540574;290;0;290;0.18311105685598317;290;0.55151998427728;290;4.5973082674642169;290;4.500259407330546
300;181.13345744193853;300;0;300;0.18311105685598317;300;0.5516386132012282;300;4.6024964140751372;300;4.500259407330546
310;181.08462782677694;310;0;310;0.17090365306558428;310;0.5516386132012282;310;4.6006653035065774;310;4.500259407330546
320;181.14566484572893;320;0;320;0.18311105685598317;320;0.55151998427728;320;4.6009704886013374;320;4.500259407330546
330;180.92593157750176;330;0;330;0.18311105685598317;330;0.55148044130263052;330;4.5893734550004579;330;4.500259407330546
340;181.02359080782495;340;0;340;0.18311105685598317;340;0.55159907022657872;340;4.5979186376537369;340;4.500259407330546
350;181.07242042298654;350;0;350;0.20752586443678089;350;0.5516386132012282;350;4.596697897274697;350;4.500259407330546
360;181.01138340403455;360;0;360;0.18311105685598317;360;0.55151998427728;360;4.604022339548937;360;4.500259407330546
370;180.95034638508255;370;0;370;0.20752586443678089;370;0.55159907022657872;370;4.5985290078432568;370;4.500259407330546
380;181.01138340403455;380;0;380;0.20752586443678089;380;0.55159907022657872;380;4.5979186376537369;380;4.500259407330546
390;181.13345744193853;390;0;390;0.18311105685598317;390;0.55159907022657872;390;4.5942564165166173;390;4.500259407330546
400;181.01138340403455;400;0;400;0.18311105685598317;400;0.55151998427728;400;4.5963927121799371;400;4.500259407330546
410;180.97476119266335;410;0;410;0.20752586443678089;410;0.55151998427728;410;4.6034119693594171;410;4.500259407330546
420;180.97476119266335;420;0;420;0.20752586443678089;420;0.55167815617587757;420;4.5994445631275367;420;4.500259407330546
430;181.12125003814813;430;0;430;0.18311105685598317;430;0.5516386132012282;430;4.6021912289803772;430;4.500259407330546
440;181.02359080782495;440;0;440;0.18311105685598317;440;0.55151998427728;440;4.5918149357585376;440;4.500259407330546
450;181.07242042298654;450;0;450;0.17090365306558428;450;0.55148044130263052;450;4.5988341929380168;450;4.500259407330546
460;181.10904263435773;460;0;460;0.17090365306558428;460;0.55159907022657872;460;4.5957823419904171;460;4.500259407330546
470;181.06021301919614;470;0;470;0.15869624927518539;470;0.55151998427728;470;4.6021912289803772;470;4.500259407330546
480;181.10904263435773;480;0;480;0.15869624927518539;480;0.55151998427728;480;4.6006653035065774;480;4.500259407330546
490;181.06021301919614;490;0;490;0.15869624927518539;490;0.55159907022657872;490;4.5988341929380168;490;4.500259407330546
500;181.06021301919614;500;0;500;0.17090365306558428;500;0.55159907022657872;500;4.596697897274697;500;4.500259407330546
510;180.95034638508255;510;0;510;0.17090365306558428;510;0.55159907022657872;510;4.5948667867061372;510;4.500259407330546
520;181.03579821161534;520;0;520;0.17090365306558428;520;0.5516386132012282;520;4.6024964140751372;520;4.500259407330546
