Name;Scope Project1;
File;C:\Users\Tobno\Desktop\CBV_Mapping\Main\pOpen-70.csv;
Starttime of export;134223609613160000;mandag 4. mai 2026;11:36:01.316
Endtime of export;134223609766560000;mandag 4. mai 2026;11:36:16.656


Name;fPresSupply_bar;Name;fPres2A_bar;Name;fPres2B_bar;Name;fPresCylMain_bar;Name;fCylinder2_mm;Name;fValve2_V;Name;fSensor2_V
1040;143.48582415234841;1040;0;1040;64.943388164922027;1040;57.899716177861869;1040;592.05153329292591;1040;2.3450422681356242;1040;2.902920621356853
1050;143.88866847743157;1050;0.036622211371196631;1050;69.71648304696798;1050;60.8783227027192;1050;592.0119903182765;1050;2.3001800592059087;1050;2.8659932248908966
1060;144.14502395702996;1060;0.47608874782555621;1060;74.196600238044368;1060;63.893551438947725;1060;591.93290436897757;1060;2.2550126651814324;1060;2.8318124942777794
1070;144.58449049348431;1070;1.6357921079134494;1070;78.554643391216771;1070;66.957609790337841;1070;591.81427544502935;1070;2.2101504562517165;1070;2.7790154728843044
1080;144.91409039582507;1080;2.7344584490493484;1080;82.033753471480452;1080;70.009460737937559;1080;591.57701759713291;1080;2.164983062227241;1080;2.71858882412183
1090;145.01174962614826;1090;3.2227546006653034;1090;85.073397015289771;1090;73.073519089327675;1090;591.45838867318457;1090;2.1201208532975251;1090;2.653279213843196
1100;145.02395702993866;1100;3.6744285409100623;1100;88.503677480391858;1100;75.905636768700219;1100;591.30021677458694;1100;2.0749534592730488;1100;2.5751518295846432
1110;145.89068269905698;1110;4.3580431531723995;1110;91.763054292428365;1110;78.615680410168764;1110;591.14204487598931;1110;2.0300912503433333;1110;2.5366985076448865
1120;146.35456404309213;1120;5.0172429578539388;1120;95.156712546159241;1120;81.447798089541322;1120;590.98387297739168;1120;1.9849238563188574;1120;2.4951933347575306
1130;146.73299356059451;1130;5.7496871852778719;1130;98.696859645374929;1130;84.121219519638643;1130;590.86524405344346;1130;1.9400616473891417;1130;2.4250007629627368
1140;147.11142307809686;1140;6.6042054506057921;1140;102.2247993408002;1140;86.709189123203217;1140;590.74661512949524;1140;1.8951994384594255;1140;2.3422956022827846
1150;147.57530442213204;1150;7.5930051576281024;1150;105.4231391338847;1150;89.162877285073378;1150;590.5093572815988;1150;1.8500320444349496;1150;2.3044526505325482
1160;147.99035615100559;1160;8.59401226844081;1160;108.31629383220924;1160;91.238135929441214;1160;590.27209943370235;1160;1.8051698355052339;1160;2.2598956266975918
1170;148.41761528366953;1170;9.741508224738304;1170;110.9042634357738;1170;93.069246498001036;1170;590.03484158580579;1170;1.760002441480758;1170;2.1994689779351178
1180;149.07681508835108;1180;10.950041199987792;1180;113.113803521836;1180;94.802697836237684;1180;589.87666968720816;1180;1.7151402325510423;1180;2.153080843531602
1190;149.30875576036865;1190;12.060914944914089;1190;115.06698812829981;1190;96.414075136570318;1190;589.67895481396124;1190;1.6699728385265664;1190;2.1027253028962063
1200;149.66277047029024;1200;13.196203497421186;1200;116.91030610065005;1200;97.659230323191011;1200;589.52078291536361;1200;1.6251106295968505;1200;2.0676290169988096
1210;149.88250373851741;1210;14.221625415814692;1210;118.53389080477311;1210;98.416089358195762;1210;589.283525067467;1210;1.5799432355723746;1210;2.0258186590166933
1220;150.12665181432538;1220;15.393536179692985;1220;119.93774224066898;1220;99.038666951506087;1220;589.08581019422;1220;1.5350810266426587;1220;1.9727164525284584
1230;150.26093325601977;1230;16.553239539780879;1230;121.08523819696646;1230;99.710074159978;1230;588.92763829562239;1230;1.499984740745262;1230;1.9104586931974243
1240;150.39521469771418;1240;17.590868861964783;1240;121.8176824243904;1240;100.13733329264198;1240;588.72992342237535;1240;1.499984740745262;1240;1.890926847132786
1250;150.45625171666617;1250;18.530838953825494;1250;122.52571184423353;1250;100.47914059877317;1250;588.61129449842713;1250;1.499984740745262;1250;1.85125278481399
1260;150.34638508255256;1260;19.458601641895807;1260;123.17270424512468;1260;100.57679982909636;1260;588.33449367588128;1260;1.499984740745262;1260;1.7856379894405958
1270;150.22431104464857;1270;20.557267983031711;1270;123.56334116641743;1270;100.51576281014437;1270;588.09723582798472;1270;1.499984740745262;1270;1.7520676290169988
1280;150.0045777764214;1280;21.63151951658681;1280;123.64879299295022;1280;100.45472579119237;1280;587.8995209547378;1280;1.499984740745262;1280;1.7423017059846795
1290;149.85808893093662;1290;22.534867397076326;1290;123.69762260811181;1290;100.17395550401318;1290;587.70180608149076;1290;1.499984740745262;1290;1.7346720786156804
1300;149.57731864375742;1300;23.157444990386669;1300;123.63658558915982;1300;99.710074159978;1300;587.42500525894479;1300;1.499984740745262;1300;1.7035431989501633
1310;149.47965941343423;1310;23.816644795068207;1310;123.47788933988464;1310;99.307229834894855;1310;587.14820443639894;1310;1.499984740745262;1310;1.6876735740226447
1320;149.29654835657826;1320;24.317148350474564;1320;123.27036347544787;1320;98.8799707022309;1320;586.99003253780131;1320;1.499984740745262;1320;1.6684469130527666
1330;149.01577806939909;1330;24.829859309671313;1330;122.91634876552628;1330;98.184148686178162;1330;586.79231766455428;1330;1.499984740745262;1330;1.6675313577684867
1340;148.56410412915432;1340;25.415814691610461;1340;122.33039338358715;1340;97.476119266335033;1340;586.51551684200842;1340;1.499984740745262;1340;1.661427655873287
1350;148.18567461165196;1350;25.867488631855217;1350;121.56132694479203;1350;96.902371288186288;1350;586.199173044813;1350;1.499984740745262;1350;1.6577654347361674
1360;147.8682821131016;1360;26.331369975890379;1360;120.97537156285287;1360;96.426282540360717;1360;586.08054412086472;1360;1.499984740745262;1360;1.6553239539780877
1370;147.41660817285685;1370;26.697592089602345;1370;120.18189031647695;1370;95.913571581163978;1370;585.80374329831886;1370;1.499984740745262;1370;1.6473891415143285
1380;147.11142307809686;1380;27.198095645008696;1380;119.32737205114903;1380;95.193334757530437;1380;585.52694247577313;1380;1.499984740745262;1380;1.6486098818933683
1390;146.75740836817531;1390;27.50328073976867;1390;118.53389080477311;1390;94.5097201452681;1390;585.25014165322716;1390;1.499984740745262;1390;1.6385387737662893
1400;146.37897885067292;1400;27.771843623157444;1400;117.76482436597797;1400;93.960386974700171;1400;585.05242677998012;1400;1.499984740745262;1400;1.6437269203772087
1410;145.92730491042818;1410;28.06482131412702;1410;116.81264687032686;1410;93.3988464003418;1410;584.73608298278486;1410;1.499984740745262;1410;1.6385387737662893
1420;145.56108279671619;1420;28.333384197515795;1420;115.82384716330454;1420;92.800683614612268;1420;584.41973918558949;1420;1.499984740745262;1420;1.6437269203772087
1430;145.18265327921384;1430;28.540910061952573;1430;114.90829187902463;1430;92.287972655415516;1430;584.14293836304375;1430;1.499984740745262;1430;1.6351817377239295
1440;145.08499404889065;1440;28.553117465742972;1440;113.98052919095431;1440;91.88512833033235;1440;583.8661375404979;1440;1.499984740745262;1440;1.6360972930082096
1450;144.77980895413069;1450;28.687398907437363;1450;113.1382183294168;1450;91.43345439008759;1450;583.66842266725075;1450;1.499984740745262;1450;1.6345713675344096
1460;144.56007568590351;1460;28.333384197515795;1460;112.16162602618489;1460;91.140476699118025;1460;583.391621844705;1460;1.499984740745262;1460;1.6339609973448896
1470;144.51124607074192;1470;27.552110354930264;1470;111.23386333811456;1470;91.01840266121404;1470;583.19390697145786;1470;1.499984740745262;1470;1.6357921079134496
1480;144.35254982146674;1480;27.027191991943113;1480;110.47700430310982;1480;90.920743430890852;1480;582.8775631742626;1480;1.499984740745262;1480;1.6275521103549304
1490;144.31592761009554;1490;26.929532761619924;1490;109.90325632496109;1490;90.749839777825244;1490;582.60076235171675;1490;1.499984740745262;1490;1.6299935911130101
1500;144.19385357219156;1500;26.917325357829526;1500;109.58586382641072;1500;90.749839777825244;1500;582.3239615291709;1500;1.499984740745262;1500;1.6214484084597309
1510;144.19385357219156;1510;26.953947569200722;1510;109.10977507858517;1510;90.957365642262047;1510;581.96807475732612;1510;1.499984740745262;1510;1.6275521103549304
1520;144.14502395702996;1520;26.941740165410323;1520;108.52381969664602;1520;91.091647083956431;1520;581.73081690942979;1520;1.499984740745262;1520;1.6196172978911711
1530;144.31592761009554;1530;26.941740165410323;1530;108.04773094882046;1530;91.286965544602808;1530;581.41447311223419;1530;1.499984740745262;1530;1.6223639637440108
1540;144.27930539872435;1540;27.039399395733511;1540;107.86461989196448;1540;91.567735831781974;1540;581.17721526433775;1540;1.499984740745262;1540;1.6171758171330914
1550;144.53566087832272;1550;27.088229010895109;1550;107.62047181615651;1550;91.897335734122748;1550;580.78178551784367;1550;1.499984740745262;1550;1.6165654469435715
1560;144.86526078066348;1560;27.185888241218297;1560;107.35190893276771;1560;92.104861598559538;1560;580.50498469529782;1560;1.499984740745262;1560;1.6165654469435715
1570;145.06057924130985;1570;27.234717856379891;1570;107.22983489486373;1570;92.3978392895291;1570;580.228183872752;1570;1.499984740745262;1570;1.6129032258064515
1580;145.35355693227942;1580;27.271340067751094;1580;107.10776085695974;1580;92.66640217291787;1580;579.99092602485553;1580;1.499984740745262;1580;1.6147343363750113
1590;145.5000457777642;1590;27.466658528397474;1590;107.05893124179815;1590;92.873928037354659;1590;579.67458222766027;1590;1.499984740745262;1590;1.6074098941007722
