Name;Scope Project1;
File;C:\Users\Tobno\Desktop\CBV_Mapping\Main\Crack3.csv;
Starttime of export;134223605945660000;mandag 4. mai 2026;11:29:54.566
Endtime of export;134223606099060000;mandag 4. mai 2026;11:30:09.906


Name;fPresSupply_bar;Name;fPres2A_bar;Name;fPres2B_bar;Name;fPresCylMain_bar;Name;fCylinder2_mm;Name;fValve2_V;Name;fSensor2_V

0;151.23752555925171;0;0;0;0.14648884548478652;0;30.98239082003235;0;576.19480045851208;0;5.00015259254738;0;5.0050355540635394
10;151.18869594409011;10;0;10;0.17090365306558428;10;31.080050050355538;10;576.11571450921326;10;5.00015259254738;10;5.0050355540635394
20;151.12765892513809;20;0;20;0.17090365306558428;20;31.019013031403546;20;576.19480045851208;20;5.00015259254738;20;5.0053407391582994
30;151.20090334788051;30;0;30;0.15869624927518539;30;30.945768608661151;30;576.19480045851208;30;5.00015259254738;30;5.0062562944425792
40;151.16428113650929;40;0;40;0.15869624927518539;40;31.165501876888335;40;576.19480045851208;40;5.00015259254738;40;5.0059511093478193
50;151.0422070986053;50;0;50;0.15869624927518539;50;31.165501876888335;50;576.23434343316148;50;5.00015259254738;50;5.0062562944425792
60;151.0544145023957;60;0;60;0.15869624927518539;60;31.019013031403546;60;576.19480045851208;60;5.00015259254738;60;5.0053407391582994
70;151.00558488723411;70;0;70;0.15869624927518539;70;31.06784264656514;70;576.19480045851208;70;5.00015259254738;70;5.0056459242530593
80;151.0910367137669;80;0;80;0.17090365306558428;80;31.128879665517132;80;576.23434343316148;80;5.00015259254738;80;5.0062562944425792
90;151.23752555925171;90;0;90;0.17090365306558428;90;31.177709280678734;90;576.11571450921326;90;5.00015259254738;90;5.0059511093478193
100;151.0910367137669;100;0;100;0.17090365306558428;100;31.165501876888335;100;576.19480045851208;100;5.00015259254738;100;5.0053407391582994
110;150.98117007965331;110;0;110;0.18311105685598317;110;31.104464857936335;110;576.23434343316148;110;5.00015259254738;110;5.0050355540635394
120;151.0299996948149;120;0;120;0.15869624927518539;120;30.98239082003235;120;576.11571450921326;120;5.00015259254738;120;5.0059511093478193
130;151.0910367137669;130;0;130;0.14648884548478652;130;31.104464857936335;130;576.19480045851208;130;5.00015259254738;130;5.0056459242530593
140;151.0422070986053;140;0;140;0.15869624927518539;140;31.080050050355538;140;576.19480045851208;140;5.00015259254738;140;5.0059511093478193
150;151.11545152134769;150;0;150;0.15869624927518539;150;30.933561204870752;150;576.11571450921326;150;5.00015259254738;150;5.0056459242530593
160;151.1032441175573;160;0;160;0.13428144169438766;160;31.104464857936335;160;576.23434343316148;160;5.00015259254738;160;5.0053407391582994
170;151.01779229102451;170;0;170;0.14648884548478652;170;31.202124088259531;170;576.23434343316148;170;5.00015259254738;170;5.0056459242530593
180;150.96896267586291;180;0;180;0.15869624927518539;180;31.06784264656514;180;576.11571450921326;180;5.00015259254738;180;5.0062562944425792
190;150.95675527207251;190;0;190;0.15869624927518539;190;30.98239082003235;190;576.27388640781089;190;5.00015259254738;190;5.0056459242530593
200;151.0299996948149;200;0;200;0.15869624927518539;200;31.055635242774741;200;576.3134293824603;200;5.00015259254738;200;5.0050355540635394
210;151.0666219061861;210;0;210;0.15869624927518539;210;31.043427838984343;210;576.27388640781089;210;5.00015259254738;210;5.0050355540635394
220;151.1032441175573;220;0;220;0.15869624927518539;220;30.98239082003235;220;576.27388640781089;220;5.00015259254738;220;5.0050355540635394
230;151.0422070986053;230;0;230;0.15869624927518539;230;31.019013031403546;230;576.19480045851208;230;5.00015259254738;230;5.0059511093478193
240;151.0544145023957;240;0;240;0.15869624927518539;240;31.055635242774741;240;576.11571450921326;240;5.00015259254738;240;5.0056459242530593
250;151.0544145023957;250;0;250;0.15869624927518539;250;31.080050050355538;250;576.19480045851208;250;5.00015259254738;250;5.0059511093478193
260;151.0299996948149;260;0;260;0.15869624927518539;260;31.043427838984343;260;576.27388640781089;260;5.00015259254738;260;5.0053407391582994
270;151.11545152134769;270;0;270;0.15869624927518539;270;30.957976012451553;270;576.27388640781089;270;5.00015259254738;270;5.0056459242530593
280;151.0666219061861;280;0;280;0.17090365306558428;280;31.080050050355538;280;576.19480045851208;280;4.9977111117893;280;5.0059511093478193
290;151.0299996948149;290;0;290;0.17090365306558428;290;31.116672261726734;290;576.11571450921326;290;4.9952696310312206;290;5.0062562944425792
300;150.98117007965331;300;0;300;0.14648884548478652;300;30.970183416241952;300;576.11571450921326;300;4.9925229651783809;300;5.0056459242530593
310;151.0544145023957;310;0;310;0.14648884548478652;310;30.933561204870752;310;576.23434343316148;310;4.9900814844203;310;5.0050355540635394
320;151.1032441175573;320;0;320;0.15869624927518539;320;30.98239082003235;320;576.19480045851208;320;4.9876400036622206;320;5.0053407391582994
