Name;YT Scope Project;
File;C:\Users\Tobno\Desktop\FeedForward\Jib\K15.csv;
Starttime of export;134222770631170000;søndag 3. mai 2026;12:17:43.117
Endtime of export;134222771072570000;søndag 3. mai 2026;12:18:27.257


Name;fXRef;Name;fPistonPosition;Name;fFF;Name;fU;Name;fXDotRef;Name;fError;Name;fPID
170;0.3501304686862543;170;0.34883218149080147;170;0;170;0;170;0.0011340168893592864;170;0.0012982871954528297;170;0
180;0.3501304686862543;180;0.34875311080715909;180;0;180;0;180;0.0011340168893592864;180;0.0012982871954528297;180;0
190;0.3501304686862543;190;0.34875311080715909;190;0;190;0;190;0.0011340168893592864;190;0.0012982871954528297;190;0
200;0.3501304686862543;200;0.34883218149080147;200;0;200;0;200;0.0011340168893592864;200;0.0012982871954528297;200;0
210;0.3501304686862543;210;0.34887171683262258;210;0;210;0;210;0.0011340168893592864;210;0.0012982871954528297;210;0
220;0.3501304686862543;220;0.34883218149080147;220;0;220;0;220;0.0011340168893592864;220;0.0012982871954528297;220;0
230;0.3501304686862543;230;0.34871357546533788;230;0;230;0;230;0.0011340168893592864;230;0.0012982871954528297;230;0
240;0.3501304686862543;240;0.34871357546533788;240;0;240;0;240;0.0011340168893592864;240;0.0012982871954528297;240;0
250;0.3501304686862543;250;0.34883218149080147;250;0;250;0;250;0.0011340168893592864;250;0.0012982871954528297;250;0
260;0.3501304686862543;260;0.34883218149080147;260;0;260;0;260;0.0011340168893592864;260;0.0012982871954528297;260;0
270;0.3501304686862543;270;0.34883218149080147;270;0;270;0;270;0.0011340168893592864;270;0.0012982871954528297;270;0
280;0.3501304686862543;280;0.34883218149080147;280;0;280;0;280;0.0011340168893592864;280;0.0012982871954528297;280;0
290;0.3501304686862543;290;0.34875311080715909;290;0;290;0;290;0.0011340168893592864;290;0.0012982871954528297;290;0
300;0.3501304686862543;300;0.34871357546533788;300;0;300;0;300;0.0011340168893592864;300;0.0012982871954528297;300;0
310;0.3501304686862543;310;0.34871357546533788;310;0;310;0;310;0.0011340168893592864;310;0.0012982871954528297;310;0
320;0.3501304686862543;320;0.34871357546533788;320;0;320;0;320;0.0011340168893592864;320;0.0012982871954528297;320;0
330;0.3501304686862543;330;0.34867404012351677;330;0;330;0;330;0.0011340168893592864;330;0.0012982871954528297;330;0
340;0.3501304686862543;340;0.34867404012351677;340;0;340;0;340;0.0011340168893592864;340;0.0012982871954528297;340;0
350;0.3501304686862543;350;0.34883218149080147;350;0;350;0;350;0.0011340168893592864;350;0.0012982871954528297;350;0
360;0.3501304686862543;360;0.34883218149080147;360;0;360;0;360;0.0011340168893592864;360;0.0012982871954528297;360;0
370;0.3501304686862543;370;0.34875311080715909;370;0;370;0;370;0.0011340168893592864;370;0.0012982871954528297;370;0
380;0.3501304686862543;380;0.34883218149080147;380;0;380;0;380;0.0011340168893592864;380;0.0012982871954528297;380;0
390;0.3501304686862543;390;0.34887171683262258;390;0;390;0;390;0.0011340168893592864;390;0.0012982871954528297;390;0
400;0.3501304686862543;400;0.34883218149080147;400;0;400;0;400;0.0011340168893592864;400;0.0012982871954528297;400;0
410;0.3501304686862543;410;0.34883218149080147;410;0;410;0;410;0.0011340168893592864;410;0.0012982871954528297;410;0
420;0.3501304686862543;420;0.34883218149080147;420;0;420;0;420;0.0011340168893592864;420;0.0012982871954528297;420;0
430;0.3501304686862543;430;0.34883218149080147;430;0;430;0;430;0.0011340168893592864;430;0.0012982871954528297;430;0
440;0.3501304686862543;440;0.34875311080715909;440;0;440;0;440;0.0011340168893592864;440;0.0012982871954528297;440;0
450;0.3501304686862543;450;0.34875311080715909;450;0;450;0;450;0.0011340168893592864;450;0.0012982871954528297;450;0
460;0.3501304686862543;460;0.34883218149080147;460;0;460;0;460;0.0011340168893592864;460;0.0012982871954528297;460;0
470;0.3501304686862543;470;0.34883218149080147;470;0;470;0;470;0.0011340168893592864;470;0.0012982871954528297;470;0
480;0.3501304686862543;480;0.34883218149080147;480;0;480;0;480;0.0011340168893592864;480;0.0012982871954528297;480;0
490;0.3501304686862543;490;0.34875311080715909;490;0;490;0;490;0.0011340168893592864;490;0.0012982871954528297;490;0
500;0.3501304686862543;500;0.34875311080715909;500;0;500;0;500;0.0011340168893592864;500;0.0012982871954528297;500;0
510;0.3501304686862543;510;0.34875311080715909;510;0;510;0;510;0.0011340168893592864;510;0.0012982871954528297;510;0
520;0.3501304686862543;520;0.34871357546533788;520;0;520;0;520;0.0011340168893592864;520;0.0012982871954528297;520;0
530;0.3501304686862543;530;0.34875311080715909;530;0;530;0;530;0.0011340168893592864;530;0.0012982871954528297;530;0
540;0.3501304686862543;540;0.34883218149080147;540;0;540;0;540;0.0011340168893592864;540;0.0012982871954528297;540;0
550;0.3501304686862543;550;0.34883218149080147;550;0;550;0;550;0.0011340168893592864;550;0.0012982871954528297;550;0
560;0.3501304686862543;560;0.34883218149080147;560;0;560;0;560;0.0011340168893592864;560;0.0012982871954528297;560;0
570;0.3501304686862543;570;0.34875311080715909;570;0;570;0;570;0.0011340168893592864;570;0.0012982871954528297;570;0
580;0.3501304686862543;580;0.34883218149080147;580;0;580;0;580;0.0011340168893592864;580;0.0012982871954528297;580;0
590;0.3501304686862543;590;0.34887171683262258;590;0;590;0;590;0.0011340168893592864;590;0.0012982871954528297;590;0
600;0.3501304686862543;600;0.34875311080715909;600;0;600;0;600;0.0011340168893592864;600;0.0012982871954528297;600;0
610;0.3501304686862543;610;0.34871357546533788;610;0;610;0;610;0.0011340168893592864;610;0.0012982871954528297;610;0
620;0.3501304686862543;620;0.34871357546533788;620;0;620;0;620;0.0011340168893592864;620;0.0012982871954528297;620;0
630;0.3501304686862543;630;0.34871357546533788;630;0;630;0;630;0.0011340168893592864;630;0.0012982871954528297;630;0
640;0.3501304686862543;640;0.34883218149080147;640;0;640;0;640;0.0011340168893592864;640;0.0012982871954528297;640;0
650;0.3501304686862543;650;0.34887171683262258;650;0;650;0;650;0.0011340168893592864;650;0.0012982871954528297;650;0
660;0.3501304686862543;660;0.34883218149080147;660;0;660;0;660;0.0011340168893592864;660;0.0012982871954528297;660;0
670;0.3501304686862543;670;0.34871357546533788;670;0;670;0;670;0.0011340168893592864;670;0.0012982871954528297;670;0
680;0.3501304686862543;680;0.34875311080715909;680;0;680;0;680;0.0011340168893592864;680;0.0012982871954528297;680;0
690;0.3501304686862543;690;0.34875311080715909;690;0;690;0;690;0.0011340168893592864;690;0.0012982871954528297;690;0
700;0.3501304686862543;700;0.34875311080715909;700;0;700;0;700;0.0011340168893592864;700;0.0012982871954528297;700;0
710;0.3501304686862543;710;0.34875311080715909;710;0;710;0;710;0.0011340168893592864;710;0.0012982871954528297;710;0
720;0.3501304686862543;720;0.34883218149080147;720;0;720;0;720;0.0011340168893592864;720;0.0012982871954528297;720;0
