Name;YT Scope Project;
File;C:\Users\Tobno\Desktop\Jib.csv;
Starttime of export;134222752558170000;søndag 3. mai 2026;11:47:35.817
Endtime of export;134222753254636789;søndag 3. mai 2026;11:48:45.463


Name;fXRef;Name;fPistonPosition;Name;fFF;Name;fU;Name;fXDotRef;Name;fError;Name;fPID

0;0.35007992243349872;0;0.38342560558433236;0;0;0;0;0;0.0008877907237681491;0;0.0007064100101922266;0;0
10;0.35007992243349872;10;0.38342560558433236;10;0;10;0;10;0.0008877907237681491;10;0.0007064100101922266;10;0
20;0.35007992243349872;20;0.38334653490069004;20;0;20;0;20;0.0008877907237681491;20;0.0007064100101922266;20;0
30;0.35007992243349872;30;0.38334653490069004;30;0;30;0;30;0.0008877907237681491;30;0.0007064100101922266;30;0
40;0.35007992243349872;40;0.38342560558433236;40;0;40;0;40;0.0008877907237681491;40;0.0007064100101922266;40;0
50;0.35007992243349872;50;0.38342560558433236;50;0;50;0;50;0.0008877907237681491;50;0.0007064100101922266;50;0
60;0.35007992243349872;60;0.38334653490069004;60;0;60;0;60;0.0008877907237681491;60;0.0007064100101922266;60;0
70;0.35007992243349872;70;0.38334653490069004;70;0;70;0;70;0.0008877907237681491;70;0.0007064100101922266;70;0
80;0.35007992243349872;80;0.38334653490069004;80;0;80;0;80;0.0008877907237681491;80;0.0007064100101922266;80;0
90;0.35007992243349872;90;0.38330699955886888;90;0;90;0;90;0.0008877907237681491;90;0.0007064100101922266;90;0
100;0.35007992243349872;100;0.38338607024251126;100;0;100;0;100;0.0008877907237681491;100;0.0007064100101922266;100;0
110;0.35007992243349872;110;0.38338607024251126;110;0;110;0;110;0.0008877907237681491;110;0.0007064100101922266;110;0
120;0.35007992243349872;120;0.38334653490069004;120;0;120;0;120;0.0008877907237681491;120;0.0007064100101922266;120;0
130;0.35007992243349872;130;0.38330699955886888;130;0;130;0;130;0.0008877907237681491;130;0.0007064100101922266;130;0
140;0.35007992243349872;140;0.38334653490069004;140;0;140;0;140;0.0008877907237681491;140;0.0007064100101922266;140;0
150;0.35007992243349872;150;0.38342560558433236;150;0;150;0;150;0.0008877907237681491;150;0.0007064100101922266;150;0
160;0.35007992243349872;160;0.38338607024251126;160;0;160;0;160;0.0008877907237681491;160;0.0007064100101922266;160;0
170;0.35007992243349872;170;0.38338607024251126;170;0;170;0;170;0.0008877907237681491;170;0.0007064100101922266;170;0
180;0.35007992243349872;180;0.38342560558433236;180;0;180;0;180;0.0008877907237681491;180;0.0007064100101922266;180;0
190;0.35007992243349872;190;0.38338607024251126;190;0;190;0;190;0.0008877907237681491;190;0.0007064100101922266;190;0
200;0.35007992243349872;200;0.38334653490069004;200;0;200;0;200;0.0008877907237681491;200;0.0007064100101922266;200;0
210;0.35007992243349872;210;0.38338607024251126;210;0;210;0;210;0.0008877907237681491;210;0.0007064100101922266;210;0
220;0.35007992243349872;220;0.38338607024251126;220;0;220;0;220;0.0008877907237681491;220;0.0007064100101922266;220;0
230;0.35007992243349872;230;0.38338607024251126;230;0;230;0;230;0.0008877907237681491;230;0.0007064100101922266;230;0
240;0.35007992243349872;240;0.38342560558433236;240;0;240;0;240;0.0008877907237681491;240;0.0007064100101922266;240;0
250;0.35007992243349872;250;0.38334653490069004;250;0;250;0;250;0.0008877907237681491;250;0.0007064100101922266;250;0
260;0.35007992243349872;260;0.38342560558433236;260;0;260;0;260;0.0008877907237681491;260;0.0007064100101922266;260;0
270;0.35007992243349872;270;0.38346514092615358;270;0;270;0;270;0.0008877907237681491;270;0.0007064100101922266;270;0
280;0.35007992243349872;280;0.38346514092615358;280;0;280;0;280;0.0008877907237681491;280;0.0007064100101922266;280;0
290;0.35007992243349872;290;0.38342560558433236;290;0;290;0;290;0.0008877907237681491;290;0.0007064100101922266;290;0
300;0.35007992243349872;300;0.38342560558433236;300;0;300;0;300;0.0008877907237681491;300;0.0007064100101922266;300;0
310;0.35007992243349872;310;0.38334653490069004;310;0;310;0;310;0.0008877907237681491;310;0.0007064100101922266;310;0
320;0.35007992243349872;320;0.38330699955886888;320;0;320;0;320;0.0008877907237681491;320;0.0007064100101922266;320;0
330;0.35007992243349872;330;0.38338607024251126;330;0;330;0;330;0.0008877907237681491;330;0.0007064100101922266;330;0
340;0.35007992243349872;340;0.38346514092615358;340;0;340;0;340;0.0008877907237681491;340;0.0007064100101922266;340;0
350;0.35007992243349872;350;0.38342560558433236;350;0;350;0;350;0.0008877907237681491;350;0.0007064100101922266;350;0
360;0.35007992243349872;360;0.38338607024251126;360;0;360;0;360;0.0008877907237681491;360;0.0007064100101922266;360;0
370;0.35007992243349872;370;0.38338607024251126;370;0;370;0;370;0.0008877907237681491;370;0.0007064100101922266;370;0
380;0.35007992243349872;380;0.38334653490069004;380;0;380;0;380;0.0008877907237681491;380;0.0007064100101922266;380;0
390;0.35007992243349872;390;0.38334653490069004;390;0;390;0;390;0.0008877907237681491;390;0.0007064100101922266;390;0
400;0.35007992243349872;400;0.38342560558433236;400;0;400;0;400;0.0008877907237681491;400;0.0007064100101922266;400;0
410;0.35007992243349872;410;0.38342560558433236;410;0;410;0;410;0.0008877907237681491;410;0.0007064100101922266;410;0
420;0.35007992243349872;420;0.38342560558433236;420;0;420;0;420;0.0008877907237681491;420;0.0007064100101922266;420;0
430;0.35007992243349872;430;0.38342560558433236;430;0;430;0;430;0.0008877907237681491;430;0.0007064100101922266;430;0
440;0.35007992243349872;440;0.38342560558433236;440;0;440;0;440;0.0008877907237681491;440;0.0007064100101922266;440;0
450;0.35007992243349872;450;0.38342560558433236;450;0;450;0;450;0.0008877907237681491;450;0.0007064100101922266;450;0
460;0.35007992243349872;460;0.38334653490069004;460;0;460;0;460;0.0008877907237681491;460;0.0007064100101922266;460;0
470;0.35007992243349872;470;0.38334653490069004;470;0;470;0;470;0.0008877907237681491;470;0.0007064100101922266;470;0
480;0.35007992243349872;480;0.38342560558433236;480;0;480;0;480;0.0008877907237681491;480;0.0007064100101922266;480;0
490;0.35007992243349872;490;0.38338607024251126;490;0;490;0;490;0.0008877907237681491;490;0.0007064100101922266;490;0
500;0.35007992243349872;500;0.38338607024251126;500;0;500;0;500;0.0008877907237681491;500;0.0007064100101922266;500;0
510;0.35007992243349872;510;0.38334653490069004;510;0;510;0;510;0.0008877907237681491;510;0.0007064100101922266;510;0
520;0.35007992243349872;520;0.38330699955886888;520;0;520;0;520;0.0008877907237681491;520;0.0007064100101922266;520;0
530;0.35007992243349872;530;0.38334653490069004;530;0;530;0;530;0.0008877907237681491;530;0.0007064100101922266;530;0
540;0.35007992243349872;540;0.38334653490069004;540;0;540;0;540;0.0008877907237681491;540;0.0007064100101922266;540;0
550;0.35007992243349872;550;0.38334653490069004;550;0;550;0;550;0.0008877907237681491;550;0.0007064100101922266;550;0
560;0.35007992243349872;560;0.38338607024251126;560;0;560;0;560;0.0008877907237681491;560;0.0007064100101922266;560;0
570;0.35007992243349872;570;0.38338607024251126;570;0;570;0;570;0.0008877907237681491;570;0.0007064100101922266;570;0
580;0.35007992243349872;580;0.38342560558433236;580;0;580;0;580;0.0008877907237681491;580;0.0007064100101922266;580;0
590;0.35007992243349872;590;0.38342560558433236;590;0;590;0;590;0.0008877907237681491;590;0.0007064100101922266;590;0
600;0.35007992243349872;600;0.38338607024251126;600;0;600;0;600;0.0008877907237681491;600;0.0007064100101922266;600;0
610;0.35007992243349872;610;0.38338607024251126;610;0;610;0;610;0.0008877907237681491;610;0.0007064100101922266;610;0
620;0.35007992243349872;620;0.38342560558433236;620;0;620;0;620;0.0008877907237681491;620;0.0007064100101922266;620;0
630;0.35007992243349872;630;0.38338607024251126;630;0;630;0;630;0.0008877907237681491;630;0.0007064100101922266;630;0
640;0.35007992243349872;640;0.38338607024251126;640;0;640;0;640;0.0008877907237681491;640;0.0007064100101922266;640;0
650;0.35007992243349872;650;0.38338607024251126;650;0;650;0;650;0.0008877907237681491;650;0.0007064100101922266;650;0
660;0.35007992243349872;660;0.38338607024251126;660;0;660;0;660;0.0008877907237681491;660;0.0007064100101922266;660;0
670;0.35007992243349872;670;0.38338607024251126;670;0;670;0;670;0.0008877907237681491;670;0.0007064100101922266;670;0
680;0.35007992243349872;680;0.38346514092615358;680;0;680;0;680;0.0008877907237681491;680;0.0007064100101922266;680;0
690;0.35007992243349872;690;0.38338607024251126;690;0;690;0;690;0.0008877907237681491;690;0.0007064100101922266;690;0
