Name;Scope Project1;
File;C:\Users\Tobno\Desktop\CBV_Mapping\Jib\Crack2.csv;
Starttime of export;134223614525160000;mandag 4. mai 2026;11:44:12.516
Endtime of export;134223614717560000;mandag 4. mai 2026;11:44:31.756


Name;fPresSupply_bar;Name;fPres1A_bar;Name;fPres1B_bar;Name;fCylinder1_mm;Name;fValve1_V;Name;fSensor1_V;Name;fPresCyl1A_bar;Name;fPresCyl1B_bar
160;151.16428113650929;160;56.874294259468371;160;16.711935789056064;160;820.92369817749022;160;4.9940488906521807;160;4.9684133426923429;160;62.672811059907829;160;95.5839716788232
170;151.23752555925171;170;56.691183202612386;170;16.772972808008056;170;820.80509215202665;170;4.9931333353679008;170;4.9671926023133031;170;62.636188848536634;170;95.53514206366161
180;151.24973296304211;180;56.5935239722892;180;16.882839442121647;180;820.80509215202665;180;4.9922177800836209;180;4.9671926023133031;180;62.69722586748864;180;95.5717642750328
190;151.16428113650929;190;56.617938779869995;190;16.858424634540849;190;820.84462749384784;190;4.991302224799341;190;4.9687185277871029;190;62.721640675069438;190;95.5595568712424
200;151.0910367137669;200;56.5935239722892;200;16.785180211798455;200;820.84462749384784;200;4.9900814844203;200;4.9687185277871029;200;62.709433271279039;200;95.6205938901944
210;151.1032441175573;210;56.642353587450792;210;16.663106173894469;210;820.80509215202665;210;4.98916592913602;210;4.9668874172185431;210;62.672811059907829;210;95.669423505356
220;151.12765892513809;220;56.678975798821988;220;16.711935789056064;220;820.92369817749022;220;4.9882503738517405;220;4.967497787408063;220;62.672811059907829;220;95.5839716788232
230;151.12765892513809;230;56.678975798821988;230;16.846217230750451;230;820.92369817749022;230;4.9870296334727007;230;4.9690237128818628;230;62.660603656117431;230;95.547349467452008
240;151.16428113650929;240;56.556901760918;240;16.870632038331248;240;820.84462749384784;240;4.9861140781884208;240;4.9693288979766228;240;62.69722586748864;240;95.5717642750328
250;151.3229773857845;250;56.508072145756408;250;17.004913480025635;250;820.80509215202665;250;4.9851985229041409;250;4.9684133426923429;250;62.721640675069438;250;95.4618976409192
260;151.3351847895749;260;56.642353587450792;260;16.956083864864041;260;820.80509215202665;260;4.984282967619861;260;4.9671926023133031;260;62.69722586748864;260;95.4496902371288
270;151.18869594409011;270;56.678975798821988;270;16.834009826960049;270;820.80509215202665;270;4.9830622272408212;270;4.967497787408063;270;62.636188848536634;270;95.6328012939848
280;151.11545152134769;280;56.5691091647084;280;16.907254249702444;280;820.80509215202665;280;4.9821466719565413;280;4.9693288979766228;280;62.721640675069438;280;95.681630909146392
290;151.1032441175573;290;56.5691091647084;290;16.992706076235237;290;820.84462749384784;290;4.9812311166722614;290;4.9693288979766228;290;62.78267769402143;290;95.5839716788232
300;151.13986632892849;300;56.556901760918;300;17.065950498977632;300;820.84462749384784;300;4.9800103762932215;300;4.967497787408063;300;62.672811059907829;300;95.5961790826136
310;151.21311075167091;310;56.398205511642807;310;17.090365306558429;310;820.80509215202665;310;4.9790948210089416;310;4.967497787408063;310;62.660603656117431;310;95.6205938901944
320;151.15207373271889;320;56.398205511642807;320;17.004913480025635;320;820.76555681020545;320;4.9781792657246617;320;4.9684133426923429;320;62.78267769402143;320;95.53514206366161
330;151.13986632892849;330;56.617938779869995;330;16.992706076235237;330;820.76555681020545;330;4.9772637104403818;330;4.9690237128818628;330;62.636188848536634;330;95.5717642750328
340;151.15207373271889;340;56.630146183660393;340;17.029328287606432;340;820.80509215202665;340;4.976042970061342;340;4.9684133426923429;340;62.550737022003844;340;95.5961790826136
350;151.15207373271889;350;56.605731376079596;350;17.139194921720026;350;820.92369817749022;350;4.9751274147770621;350;4.9671926023133031;350;62.672811059907829;350;95.6205938901944
360;151.22531815546131;360;56.520279549546807;360;17.18802453688162;360;820.92369817749022;360;4.9742118594927822;360;4.9671926023133031;360;62.660603656117431;360;95.6328012939848
370;151.12765892513809;370;56.398205511642807;370;17.114780114139226;370;820.84462749384784;370;4.9732963042085023;370;4.9684133426923429;370;62.758262886440633;370;95.681630909146392
380;151.20090334788051;380;56.434827723014;380;17.139194921720026;380;820.84462749384784;380;4.9720755638294625;380;4.9690237128818628;380;62.758262886440633;380;95.669423505356
390;151.21311075167091;390;56.459242530594814;390;17.224646748252816;390;820.84462749384784;390;4.9711600085451826;390;4.967497787408063;390;62.648396252327032;390;95.5839716788232
400;151.11545152134769;400;56.520279549546807;400;17.200231940672019;400;820.84462749384784;400;4.9702444532609027;400;4.9684133426923429;400;62.709433271279039;400;95.5717642750328
410;151.0299996948149;410;56.544694357127604;410;17.163609729300823;410;820.84462749384784;410;4.9690237128818628;410;4.9696340830713828;410;62.672811059907829;410;95.6205938901944
420;151.00558488723411;420;56.508072145756408;420;17.224646748252816;420;820.80509215202665;420;4.968108157597583;420;4.9687185277871029;420;62.562944425794242;420;95.53514206366161
430;151.0299996948149;430;56.459242530594814;430;17.151402325510425;430;820.80509215202665;430;4.9671926023133031;430;4.9671926023133031;430;62.550737022003844;430;95.4985198522904
440;151.0666219061861;440;56.483657338175611;440;17.126987517929624;440;820.84462749384784;440;4.9662770470290232;440;4.967497787408063;440;62.611774040955837;440;95.5839716788232
450;151.0299996948149;450;56.398205511642807;450;17.200231940672019;450;820.84462749384784;450;4.9650563066499833;450;4.9671926023133031;450;62.623981444746235;450;95.5595568712424
460;151.0910367137669;460;56.337168492690815;460;17.200231940672019;460;820.80509215202665;460;4.9641407513657034;460;4.968108157597583;460;62.648396252327032;460;95.5595568712424
470;151.20090334788051;470;56.422620319223604;470;17.18802453688162;470;820.80509215202665;470;4.9632251960814235;470;4.9687185277871029;470;62.575151829584641;470;95.4618976409192
480;151.20090334788051;480;56.337168492690815;480;17.114780114139226;480;820.80509215202665;480;4.9620044557023837;480;4.9671926023133031;480;62.623981444746235;480;95.4741050447096
490;151.21311075167091;490;56.300546281319619;490;17.18802453688162;490;820.76555681020545;490;4.9610889004181038;490;4.967497787408063;490;62.709433271279039;490;95.6328012939848
500;151.0666219061861;500;56.361583300271612;500;17.285683767204809;500;820.80509215202665;500;4.9601733451338239;500;4.9687185277871029;500;62.709433271279039;500;95.5717642750328
510;151.0666219061861;510;56.37379070406201;510;17.297891170995207;510;820.80509215202665;510;4.959257789849544;510;4.9690237128818628;510;62.733848078859836;510;95.4618976409192
520;151.1032441175573;520;56.361583300271612;520;17.310098574785606;520;820.84462749384784;520;4.9580370494705042;520;4.968108157597583;520;62.672811059907829;520;95.4741050447096
530;151.13986632892849;530;56.385998107852409;530;17.224646748252816;530;820.84462749384784;530;4.9571214941862243;530;4.968108157597583;530;62.69722586748864;530;95.5717642750328
540;151.23752555925171;540;56.385998107852409;540;17.310098574785606;540;820.80509215202665;540;4.9562059389019444;540;4.967497787408063;540;62.672811059907829;540;95.6572161015656
550;151.11545152134769;550;56.263924069948423;550;17.334513382366406;550;820.84462749384784;550;4.9552903836176645;550;4.968108157597583;550;62.733848078859836;550;95.6328012939848
560;151.0910367137669;560;56.190679647206032;560;17.18802453688162;560;820.92369817749022;560;4.9540696432386246;560;4.9684133426923429;560;62.69722586748864;560;95.6328012939848
570;151.12765892513809;570;56.129642628254039;570;17.212439344462418;570;820.92369817749022;570;4.9531540879543448;570;4.9650563066499833;570;62.623981444746235;570;95.6572161015656
580;151.0910367137669;580;56.166264839625235;580;17.383342997528;580;820.84462749384784;580;4.9522385326700649;580;4.9650563066499833;580;62.660603656117431;580;95.5717642750328
590;151.11545152134769;590;56.215094454786829;590;17.481002227851192;590;820.80509215202665;590;4.9510177922910241;590;4.968108157597583;590;62.660603656117431;590;95.4741050447096
600;151.12765892513809;600;56.190679647206032;600;17.590868861964783;600;820.84462749384784;600;4.9501022370067442;600;4.9690237128818628;600;62.69722586748864;600;95.53514206366161
610;151.16428113650929;610;56.227301858577228;610;17.52983184301279;610;820.76555681020545;610;4.9491866817224643;610;4.968108157597583;610;62.746055482650235;610;95.6328012939848
620;151.2863551744133;620;56.300546281319619;620;17.481002227851192;620;820.80509215202665;620;4.9482711264381845;620;4.968108157597583;620;62.672811059907829;620;95.5595568712424
630;151.23752555925171;630;56.215094454786829;630;17.481002227851192;630;820.92369817749022;630;4.9470503860591446;630;4.9665822321237831;630;62.611774040955837;630;95.4741050447096
640;151.15207373271889;640;56.251716666158025;640;17.52983184301279;640;820.84462749384784;640;4.9461348307748647;640;4.9671926023133031;640;62.587359233375039;640;95.547349467452008
650;151.23752555925171;650;56.312753685110017;650;17.578661458174384;650;820.84462749384784;650;4.9452192754905848;650;4.968108157597583;650;62.587359233375039;650;95.5717642750328
660;151.13986632892849;660;56.166264839625235;660;17.542039246803188;660;820.84462749384784;660;4.943998535111545;660;4.968108157597583;660;62.733848078859836;660;95.5961790826136
670;151.0910367137669;670;56.080813013092445;670;17.590868861964783;670;820.84462749384784;670;4.9430829798272651;670;4.9671926023133031;670;62.709433271279039;670;95.547349467452008
680;151.0910367137669;680;56.129642628254039;680;17.542039246803188;680;820.84462749384784;680;4.9421674245429852;680;4.9671926023133031;680;62.69722586748864;680;95.4741050447096
690;151.12765892513809;690;56.129642628254039;690;17.542039246803188;690;820.76555681020545;690;4.9412518692587053;690;4.968108157597583;690;62.69722586748864;690;95.53514206366161
700;151.18869594409011;700;56.117435224463641;700;17.590868861964783;700;820.76555681020545;700;4.9400311288796654;700;4.9671926023133031;700;62.636188848536634;700;95.510727256080813
710;151.1032441175573;710;56.093020416882844;710;17.651905880916775;710;820.80509215202665;710;4.9391155735953856;710;4.967497787408063;710;62.672811059907829;710;95.510727256080813
720;151.0422070986053;720;56.093020416882844;720;17.639698477126377;720;820.84462749384784;720;4.9382000183111057;720;4.967497787408063;720;62.69722586748864;720;95.5839716788232
730;151.11545152134769;730;56.178472243415634;730;17.712942899868768;730;820.92369817749022;730;4.9372844630268258;730;4.9684133426923429;730;62.623981444746235;730;95.5717642750328
740;151.12765892513809;740;56.129642628254039;740;17.749565111239967;740;820.92369817749022;740;4.9360637226477859;740;4.968108157597583;740;62.538529618213445;740;95.5717642750328
750;151.0910367137669;750;56.080813013092445;750;17.700735496078369;750;820.92369817749022;750;4.935148167363506;750;4.9671926023133031;750;62.611774040955837;750;95.6328012939848
760;151.13986632892849;760;56.00756859035004;760;17.700735496078369;760;820.80509215202665;760;4.9342326120792261;760;4.967497787408063;760;62.69722586748864;760;95.5839716788232
770;151.16428113650929;770;55.970946378978844;770;17.712942899868768;770;820.80509215202665;770;4.9330118717001863;770;4.9671926023133031;770;62.69722586748864;770;95.5961790826136
780;151.24973296304211;780;56.141850032044438;780;17.749565111239967;780;820.80509215202665;780;4.9320963164159064;780;4.9671926023133031;780;62.623981444746235;780;95.6205938901944
790;151.2863551744133;790;56.105227820673242;790;17.773979918820764;790;820.84462749384784;790;4.9311807611316265;790;4.9665822321237831;790;62.562944425794242;790;95.6205938901944
800;151.18869594409011;800;56.044190801721236;800;17.749565111239967;800;820.92369817749022;800;4.9302652058473466;800;4.9665822321237831;800;62.672811059907829;800;95.6205938901944
810;151.13986632892849;810;56.166264839625235;810;17.908261360515151;810;820.80509215202665;810;4.9290444654683068;810;4.967497787408063;810;62.660603656117431;810;95.5961790826136
820;151.0910367137669;820;56.117435224463641;820;17.883846552934354;820;820.80509215202665;820;4.9281289101840269;820;4.9684133426923429;820;62.50190740684225;820;95.4863124485
