Name;Scope Project1;
File;C:\Users\Tobno\Desktop\VentilDeadband\JibOpp\-18prosent.csv;
Starttime of export;134214163628200000;torsdag 23. april 2026;13:12:42.820
Endtime of export;134214163743628827;torsdag 23. april 2026;13:12:54.362


Name;fPresSupply_bar;Name;fPres1A_bar;Name;fPres1B_bar;Name;fCylinder1_mm;Name;fValve1_V;Name;fSensor1_V

0;153.15408795434431;0;0.32959990234076969;0;89.968565935239724;0;761.8974328384711;0;4.1001617481002226;0;4.1639454329050567
10;153.1907101657155;10;0.36622211371196634;10;90.1516769920957;10;761.8974328384711;10;4.1001617481002226;10;4.1599780266731772
20;153.36161381878108;20;0.36622211371196634;20;90.237128818628491;20;761.8974328384711;20;4.1001617481002226;20;4.161503952146977
30;153.32499160740988;30;0.32959990234076969;30;90.054017761772513;30;761.85789749664991;30;4.1001617481002226;30;4.1648609881893366
40;153.1785027619251;40;0.36622211371196634;40;90.1150547807245;40;761.85789749664991;40;4.1001617481002226;40;4.1645558030945766
50;153.10525833918271;50;0.35401470992156742;50;90.1516769920957;50;761.85789749664991;50;4.1001617481002226;50;4.1584521011993774
60;153.28836939603869;60;0.35401470992156742;60;90.2127140110477;60;761.85789749664991;60;4.1001617481002226;60;4.1639454329050567
70;153.25174718466749;70;0.32959990234076969;70;90.1760917996765;70;761.77882681300753;70;4.1001617481002226;70;4.1633350627155368
80;153.2029175695059;80;0.29297769096957305;80;90.1760917996765;80;761.77882681300753;80;4.1001617481002226;80;4.1645558030945766
90;153.2273323770867;90;0.35401470992156742;90;90.1638843958861;90;761.8974328384711;90;4.1001617481002226;90;4.1624195074312569
100;153.32499160740988;100;0.35401470992156742;100;90.017395550401318;100;761.85789749664991;100;4.1001617481002226;100;4.1636402478102967
110;153.1662953581347;110;0.32959990234076969;110;90.1638843958861;110;761.85789749664991;110;4.1001617481002226;110;4.1599780266731772
120;153.1907101657155;120;0.31739249855037077;120;90.273751029999687;120;761.85789749664991;120;4.1001617481002226;120;4.161198767052217
130;153.38602862636188;130;0.32959990234076969;130;90.285958433790086;130;761.8974328384711;130;4.1001617481002226;130;4.1666920987578964
140;153.36161381878108;140;0.35401470992156742;140;90.090639973143709;140;761.85789749664991;140;4.1001617481002226;140;4.1627246925260168
150;153.27616199224829;150;0.32959990234076969;150;90.1394695883053;150;761.81836215482872;150;4.1001617481002226;150;4.1624195074312569
160;153.1907101657155;160;0.32959990234076969;160;90.078432569353311;160;761.81836215482872;160;4.1001617481002226;160;4.1599780266731772
170;153.27616199224829;170;0.35401470992156742;170;90.041810357982115;170;761.85789749664991;170;4.1001617481002226;170;4.1654713583788565
180;153.2395397808771;180;0.35401470992156742;180;90.017395550401318;180;761.81836215482872;180;4.1001617481002226;180;4.1627246925260168
190;153.2395397808771;190;0.31739249855037077;190;89.956358531449325;190;761.81836215482872;190;4.1001617481002226;190;4.161198767052217
200;153.2395397808771;200;0.29297769096957305;200;90.054017761772513;200;761.81836215482872;200;4.1001617481002226;200;4.1593676564836572
210;153.28836939603869;210;0.30518509475997191;210;89.883114108706934;210;761.81836215482872;210;4.1001617481002226;210;4.1639454329050567
220;153.1907101657155;220;0.39063692129276406;220;89.895321512497333;220;761.8974328384711;220;4.1001617481002226;220;4.1645558030945766
230;153.2273323770867;230;0.32959990234076969;230;89.944151127658927;230;761.85789749664991;230;4.1001617481002226;230;4.1602832117679371
240;153.36161381878108;240;0.30518509475997191;240;90.017395550401318;240;761.81836215482872;240;4.1001617481002226;240;4.1645558030945766
250;153.28836939603869;250;0.32959990234076969;250;89.992980742820521;250;761.69975612936514;250;4.1001617481002226;250;4.1630298776207768
260;153.2029175695059;260;0.29297769096957305;260;90.029602954191716;260;761.69975612936514;260;4.1001617481002226;260;4.1636402478102967
270;153.15408795434431;270;0.30518509475997191;270;89.968565935239724;270;761.77882681300753;270;4.1001617481002226;270;4.1605883968626971
280;153.1785027619251;280;0.35401470992156742;280;90.029602954191716;280;761.77882681300753;280;4.1001617481002226;280;4.1654713583788565
290;153.08084353160191;290;0.35401470992156742;290;90.1150547807245;290;761.77882681300753;290;4.1001617481002226;290;4.1621143223364969
300;153.2395397808771;300;0.32959990234076969;300;90.041810357982115;300;761.77882681300753;300;4.1001617481002226;300;4.1602832117679371
310;153.26395458845789;310;0.31739249855037077;310;90.090639973143709;310;761.77882681300753;310;4.1001617481002226;310;4.1624195074312569
320;153.1907101657155;320;0.32959990234076969;320;90.017395550401318;320;761.77882681300753;320;4.1001617481002226;320;4.1645558030945766
330;153.14188055055391;330;0.3784295175023652;330;90.066225165562912;330;761.77882681300753;330;4.1001617481002226;330;4.1645558030945766
340;153.15408795434431;340;0.35401470992156742;340;89.980773339030122;340;761.66022078754406;340;4.1001617481002226;340;4.1587572862941373
350;153.27616199224829;350;0.3784295175023652;350;89.968565935239724;350;761.69975612936514;350;4.1001617481002226;350;4.1636402478102967
360;153.10525833918271;360;0.35401470992156742;360;89.870906704916536;360;761.69975612936514;360;4.1001617481002226;360;4.1633350627155368
370;153.06863612781152;370;0.31739249855037077;370;89.956358531449325;370;761.69975612936514;370;4.1001617481002226;370;4.1645558030945766
380;153.2273323770867;380;0.32959990234076969;380;90.1150547807245;380;761.77882681300753;380;4.1001617481002226;380;4.1627246925260168
390;153.32499160740988;390;0.30518509475997191;390;89.944151127658927;390;761.69975612936514;390;4.1001617481002226;390;4.1636402478102967
400;153.08084353160191;400;0.30518509475997191;400;89.846491897335738;400;761.69975612936514;400;4.1001617481002226;400;4.161198767052217
410;153.06863612781152;410;0.30518509475997191;410;89.883114108706934;410;761.69975612936514;410;4.1001617481002226;410;4.161198767052217
420;153.1907101657155;420;0.32959990234076969;420;90.017395550401318;420;761.69975612936514;420;4.1001617481002226;420;4.1645558030945766
430;153.25174718466749;430;0.3784295175023652;430;89.761040070802949;430;761.66022078754406;430;4.1001617481002226;430;4.1645558030945766
440;153.28836939603869;440;0.3784295175023652;440;89.785454878383746;440;761.66022078754406;440;4.1001617481002226;440;4.1645558030945766
450;153.2395397808771;450;0.31739249855037077;450;89.944151127658927;450;761.77882681300753;450;4.1001617481002226;450;4.1593676564836572
460;153.32499160740988;460;0.32959990234076969;460;89.956358531449325;460;761.81836215482872;460;4.1001617481002226;460;4.1636402478102967
470;153.14188055055391;470;0.31739249855037077;470;89.895321512497333;470;761.77882681300753;470;4.1001617481002226;470;4.1624195074312569
480;153.08084353160191;480;0.35401470992156742;480;89.91973632007813;480;761.66022078754406;480;4.1001617481002226;480;4.1654713583788565
490;153.2395397808771;490;0.35401470992156742;490;89.883114108706934;490;761.69975612936514;490;4.1001617481002226;490;4.1633350627155368
500;153.27616199224829;500;0.32959990234076969;500;89.74883266701255;500;761.77882681300753;500;4.1001617481002226;500;4.1639454329050567
510;153.15408795434431;510;0.36622211371196634;510;89.74883266701255;510;761.69975612936514;510;4.1001617481002226;510;4.1639454329050567
520;153.10525833918271;520;0.32959990234076969;520;89.724417859431753;520;761.66022078754406;520;4.1001617481002226;520;4.1599780266731772
530;153.08084353160191;530;0.31739249855037077;530;89.822077089754941;530;761.69975612936514;530;4.1001617481002226;530;4.1639454329050567
540;153.1785027619251;540;0.35401470992156742;540;89.797662282174144;540;761.62068544572287;540;4.1001617481002226;540;4.1645558030945766
550;153.33719901120028;550;0.36622211371196634;550;89.883114108706934;550;761.66022078754406;550;4.1001617481002226;550;4.1645558030945766
560;153.2029175695059;560;0.32959990234076969;560;89.895321512497333;560;761.77882681300753;560;4.1001617481002226;560;4.1605883968626971
570;153.2273323770867;570;0.31739249855037077;570;89.785454878383746;570;761.77882681300753;570;4.1001617481002226;570;4.1645558030945766
580;153.1785027619251;580;0.30518509475997191;580;89.761040070802949;580;761.69975612936514;580;4.1001617481002226;580;4.1602832117679371
590;153.26395458845789;590;0.30518509475997191;590;89.724417859431753;590;761.62068544572287;590;4.1001617481002226;590;4.1636402478102967
600;153.1907101657155;600;0.30518509475997191;600;89.773247474593347;600;761.66022078754406;600;4.1001617481002226;600;4.1666920987578964
610;153.2395397808771;610;0.32959990234076969;610;89.822077089754941;610;761.62068544572287;610;4.1001617481002226;610;4.1633350627155368
620;153.28836939603869;620;0.36622211371196634;620;89.956358531449325;620;761.66022078754406;620;4.1001617481002226;620;4.1630298776207768
630;153.2029175695059;630;0.32959990234076969;630;89.773247474593347;630;761.66022078754406;630;4.1001617481002226;630;4.161198767052217
640;153.2029175695059;640;0.39063692129276406;640;89.724417859431753;640;761.69975612936514;640;4.1001617481002226;640;4.1660817285683764
650;153.08084353160191;650;0.40284432508316292;650;89.797662282174144;650;761.66022078754406;650;4.1001617481002226;650;4.1636402478102967
660;153.1785027619251;660;0.3784295175023652;660;89.858699301126137;660;761.66022078754406;660;4.1001617481002226;660;4.1648609881893366
670;153.2273323770867;670;0.30518509475997191;670;89.773247474593347;670;761.66022078754406;670;4.1001617481002226;670;4.1621143223364969
680;153.28836939603869;680;0.30518509475997191;680;89.663380840479761;680;761.62068544572287;680;4.1001617481002226;680;4.1633350627155368
690;153.28836939603869;690;0.32959990234076969;690;89.83428449354534;690;761.58115010390168;690;4.1001617481002226;690;4.161198767052217
700;153.32499160740988;700;0.30518509475997191;700;89.822077089754941;700;761.58115010390168;700;4.1001617481002226;700;4.1621143223364969
710;153.25174718466749;710;0.36622211371196634;710;89.797662282174144;710;761.66022078754406;710;4.1001617481002226;710;4.1657765434736165
720;153.1662953581347;720;0.32959990234076969;720;89.736625263222152;720;761.66022078754406;720;4.1001617481002226;720;4.1657765434736165
730;153.27616199224829;730;0.28077028717917418;730;89.773247474593347;730;761.69975612936514;730;4.1001617481002226;730;4.1651661732840966
740;153.2273323770867;740;0.31739249855037077;740;89.736625263222152;740;761.62068544572287;740;4.1001617481002226;740;4.1593676564836572
750;153.2273323770867;750;0.30518509475997191;750;89.638966032898949;750;761.58115010390168;750;4.1001617481002226;750;4.1636402478102967
760;153.10525833918271;760;0.28077028717917418;760;89.577929013946957;760;761.54161476208048;760;4.1001617481002226;760;4.161503952146977
770;153.15408795434431;770;0.32959990234076969;770;89.675588244270159;770;761.54161476208048;770;4.1001617481002226;770;4.1645558030945766
780;153.25174718466749;780;0.36622211371196634;780;89.724417859431753;780;761.58115010390168;780;4.1001617481002226;780;4.1630298776207768
790;153.26395458845789;790;0.31739249855037077;790;89.638966032898949;790;761.58115010390168;790;4.1001617481002226;790;4.1636402478102967
800;153.06863612781152;800;0.29297769096957305;800;89.785454878383746;800;761.62068544572287;800;4.1001617481002226;800;4.1630298776207768
810;152.98318430127873;810;0.30518509475997191;810;89.700003051850956;810;761.62068544572287;810;4.1001617481002226;810;4.1608935819574571
820;153.1785027619251;820;0.36622211371196634;820;89.785454878383746;820;761.62068544572287;820;4.1001617481002226;820;4.1654713583788565
830;153.15408795434431;830;0.36622211371196634;830;89.724417859431753;830;761.58115010390168;830;4.1001617481002226;830;4.1639454329050567
840;153.09305093539231;840;0.35401470992156742;840;89.651173436689362;840;761.54161476208048;840;4.1001617481002226;840;4.1633350627155368
850;153.1785027619251;850;0.3784295175023652;850;89.626758629108551;850;761.50207942025929;850;4.1001617481002226;850;4.1605883968626971
860;153.30057679982909;860;0.3784295175023652;860;89.504684591204565;860;761.54161476208048;860;4.1001617481002226;860;4.1673024689474163
870;153.09305093539231;870;0.39063692129276406;870;89.55351420636616;870;761.58115010390168;870;4.1001617481002226;870;4.1633350627155368
880;153.10525833918271;880;0.3784295175023652;880;89.638966032898949;880;761.58115010390168;880;4.1001617481002226;880;4.1621143223364969
890;153.25174718466749;890;0.35401470992156742;890;89.675588244270159;890;761.54161476208048;890;4.1001617481002226;890;4.1627246925260168
900;153.26395458845789;900;0.32959990234076969;900;89.541306802575761;900;761.50207942025929;900;4.1001617481002226;900;4.1630298776207768
910;153.1662953581347;910;0.31739249855037077;910;89.565721610156558;910;761.58115010390168;910;4.1001617481002226;910;4.1630298776207768
920;153.11746574297311;920;0.39063692129276406;920;89.55351420636616;920;761.54161476208048;920;4.1001617481002226;920;4.1608935819574571
930;153.11746574297311;930;0.43946653645435957;930;89.504684591204565;930;761.50207942025929;930;4.1001617481002226;930;4.1651661732840966
940;153.06863612781152;940;0.39063692129276406;940;89.431440168462174;940;761.4625440784381;940;4.1001617481002226;940;4.1630298776207768
950;153.11746574297311;950;0.32959990234076969;950;89.541306802575761;950;761.50207942025929;950;4.1001617481002226;950;4.1645558030945766
960;153.1662953581347;960;0.32959990234076969;960;89.577929013946957;960;761.50207942025929;960;4.1001617481002226;960;4.1621143223364969
970;153.34940641499068;970;0.39063692129276406;970;89.504684591204565;970;761.50207942025929;970;4.1001617481002226;970;4.1645558030945766
980;153.2395397808771;980;0.3784295175023652;980;89.492477187414167;980;761.50207942025929;980;4.1001617481002226;980;4.1605883968626971
990;153.25174718466749;990;0.31739249855037077;990;89.394817957090979;990;761.4625440784381;990;4.1001617481002226;990;4.161503952146977
1000;153.33719901120028;1000;0.31739249855037077;1000;89.529099398785362;1000;761.54161476208048;1000;4.1001617481002226;1000;4.1651661732840966
1010;153.2273323770867;1010;0.31739249855037077;1010;89.455854976042971;1010;761.54161476208048;1010;4.1001617481002226;1010;4.1645558030945766
1020;153.2273323770867;1020;0.32959990234076969;1020;89.541306802575761;1020;761.54161476208048;1020;4.1001617481002226;1020;4.1645558030945766
1030;153.1785027619251;1030;0.32959990234076969;1030;89.638966032898949;1030;761.4625440784381;1030;4.1001617481002226;1030;4.1602832117679371
1040;153.2273323770867;1040;0.35401470992156742;1040;89.565721610156558;1040;761.4625440784381;1040;4.1001617481002226;1040;4.1639454329050567
1050;153.1662953581347;1050;0.31739249855037077;1050;89.455854976042971;1050;761.50207942025929;1050;4.1001617481002226;1050;4.1621143223364969
1060;153.1907101657155;1060;0.31739249855037077;1060;89.651173436689362;1060;761.4625440784381;1060;4.1001617481002226;1060;4.1654713583788565
1070;153.1907101657155;1070;0.39063692129276406;1070;89.651173436689362;1070;761.38347339479571;1070;4.1001617481002226;1070;4.1636402478102967
1080;153.2029175695059;1080;0.39063692129276406;1080;89.480269783623768;1080;761.4625440784381;1080;4.1001617481002226;1080;4.1627246925260168
1090;153.11746574297311;1090;0.36622211371196634;1090;89.541306802575761;1090;761.54161476208048;1090;4.1001617481002226;1090;4.1605883968626971
1100;153.10525833918271;1100;0.31739249855037077;1100;89.504684591204565;1100;761.50207942025929;1100;4.1001617481002226;1100;4.1608935819574571
1110;153.25174718466749;1110;0.31739249855037077;1110;89.602343821527754;1110;761.4625440784381;1110;4.1001617481002226;1110;4.1660817285683764
1120;153.2029175695059;1120;0.32959990234076969;1120;89.638966032898949;1120;761.38347339479571;1120;4.1001617481002226;1120;4.1645558030945766
1130;153.1785027619251;1130;0.30518509475997191;1130;89.590136417737355;1130;761.38347339479571;1130;4.1001617481002226;1130;4.1636402478102967
1140;153.14188055055391;1140;0.32959990234076969;1140;89.455854976042971;1140;761.4625440784381;1140;4.1001617481002226;1140;4.1602832117679371
1150;153.1785027619251;1150;0.41505172887356179;1150;89.431440168462174;1150;761.50207942025929;1150;4.1001617481002226;1150;4.1660817285683764
1160;153.15408795434431;1160;0.3784295175023652;1160;89.541306802575761;1160;761.38347339479571;1160;4.1001617481002226;1160;4.1627246925260168
1170;153.2029175695059;1170;0.29297769096957305;1170;89.492477187414167;1170;761.38347339479571;1170;4.1001617481002226;1170;4.161503952146977
1180;153.2029175695059;1180;0.28077028717917418;1180;89.431440168462174;1180;761.38347339479571;1180;4.1001617481002226;1180;4.1621143223364969
1190;153.1662953581347;1190;0.31739249855037077;1190;89.358195745719783;1190;761.38347339479571;1190;4.1001617481002226;1190;4.1627246925260168
1200;153.1662953581347;1200;0.36622211371196634;1200;89.46806237983337;1200;761.38347339479571;1200;4.1001617481002226;1200;4.161503952146977
1210;153.26395458845789;1210;0.32959990234076969;1210;89.333780938138986;1210;761.38347339479571;1210;4.1001617481002226;1210;4.1621143223364969
1220;153.32499160740988;1220;0.36622211371196634;1220;89.358195745719783;1220;761.38347339479571;1220;4.1001617481002226;1220;4.1673024689474163
1230;153.14188055055391;1230;0.35401470992156742;1230;89.38261055330058;1230;761.38347339479571;1230;4.1001617481002226;1230;4.1627246925260168
1240;153.09305093539231;1240;0.32959990234076969;1240;89.370403149510182;1240;761.50207942025929;1240;4.1001617481002226;1240;4.1624195074312569
1250;153.1785027619251;1250;0.30518509475997191;1250;89.407025360881377;1250;761.50207942025929;1250;4.1001617481002226;1250;4.1602832117679371
1260;153.26395458845789;1260;0.31739249855037077;1260;89.38261055330058;1260;761.38347339479571;1260;4.1001617481002226;1260;4.1654713583788565
1270;153.10525833918271;1270;0.3784295175023652;1270;89.358195745719783;1270;761.38347339479571;1270;4.1001617481002226;1270;4.161198767052217
1280;153.14188055055391;1280;0.36622211371196634;1280;89.358195745719783;1280;761.34393805297452;1280;4.1001617481002226;1280;4.1605883968626971
1290;153.10525833918271;1290;0.31739249855037077;1290;89.46806237983337;1290;761.38347339479571;1290;4.1001617481002226;1290;4.1645558030945766
1300;153.1785027619251;1300;0.29297769096957305;1300;89.333780938138986;1300;761.38347339479571;1300;4.1001617481002226;1300;4.1639454329050567
1310;153.2395397808771;1310;0.35401470992156742;1310;89.443647572252573;1310;761.38347339479571;1310;4.1001617481002226;1310;4.1633350627155368
1320;153.15408795434431;1320;0.32959990234076969;1320;89.431440168462174;1320;761.38347339479571;1320;4.1001617481002226;1320;4.1605883968626971
1330;153.25174718466749;1330;0.28077028717917418;1330;89.370403149510182;1330;761.34393805297452;1330;4.1001617481002226;1330;4.1648609881893366
1340;153.2395397808771;1340;0.35401470992156742;1340;89.345988341929385;1340;761.26486736933225;1340;4.1001617481002226;1340;4.161503952146977
1350;153.25174718466749;1350;0.36622211371196634;1350;89.407025360881377;1350;761.30440271115344;1350;4.1001617481002226;1350;4.1633350627155368
1360;153.10525833918271;1360;0.30518509475997191;1360;89.46806237983337;1360;761.34393805297452;1360;4.1001617481002226;1360;4.161198767052217
1370;153.1907101657155;1370;0.36622211371196634;1370;89.431440168462174;1370;761.30440271115344;1370;4.1001617481002226;1370;4.1624195074312569
1380;153.2395397808771;1380;0.3784295175023652;1380;89.46806237983337;1380;761.34393805297452;1380;4.1001617481002226;1380;4.1605883968626971
1390;153.2029175695059;1390;0.30518509475997191;1390;89.455854976042971;1390;761.30440271115344;1390;4.1001617481002226;1390;4.1605883968626971
1400;153.2395397808771;1400;0.29297769096957305;1400;89.577929013946957;1400;761.30440271115344;1400;4.1001617481002226;1400;4.1654713583788565
1410;153.26395458845789;1410;0.32959990234076969;1410;89.394817957090979;1410;761.30440271115344;1410;4.1001617481002226;1410;4.1645558030945766
