Q_m3ps;;0,080384;0,0314;0,390625;;;0,64;;0,020096;0,012252;0,609673567
;;Q_m3ps B;;;;;;;;;
0;;0;0;;;0,17477;;;;;
0;;0;0;;;0,19215;;;;;
0;;0;0;;;0,19322;;;;;
0;;0;0;;;0,19012;;;;;
0;;0;0;;;0,20478;;;;;
0;;0;0;;;0,19761;;;;;
0;;0;0;;;0,20356;;;;;
0;;0;0;;;0,20185;;;;;
5,5435E-07;;2,16543E-07;3,37973E-07;;;0,20266;;;;;
1,2448E-06;;4,8625E-07;7,58922E-07;;;0,20595;;;;;
2,1515E-06;;8,4043E-07;1,31171E-06;;;0,20944;;;;;
3,5472E-06;;1,38563E-06;2,16263E-06;;;0,21873;;;;;
0,000010826;;4,22891E-06;6,60033E-06;;;0,25598;;;;;
0,00005893;;2,30195E-05;3,59281E-05;;;1,2344;;;;;
0,00012019;;4,69492E-05;7,32767E-05;;;2,6211;;;;;
0,00018755;;7,32617E-05;0,000114344;;;4,3262;;;;;
0,00025789;;0,000100738;0,000157229;;;6,4088;;;;;
0,00031809;;0,000124254;0,000193931;;;6,4698;;;;;
0,00037858;;0,000147883;0,00023081;;;8,1866;;;;;
0,00043318;;0,000169211;0,000264098;;;9,8072;;;;;
0,00048536;;0,000189594;0,000295911;;;11,225;;;;;
0,00053319;;0,000208277;0,000325072;;;13,061;;;;;
0,00059816;;0,000233656;0,000364682;;;15,27;;;;;
0,0006542;;0,000255547;0,000398848;;;16,954;;;;;
0,00069494;;0,000271461;0,000423687;;;18,355;;;;;
0,00073064;;0,000285406;0,000445452;;;19,373;;;;;
0,0007546;;0,000294766;0,00046006;;;20,154;;;;;
0,00077044;;0,000300953;0,000469717;;;20,555;;;;;
