Name;YT Scope Project;
File;C:\Users\Tobno\Desktop\FeedForward\Main\P15 (2).csv;
Starttime of export;134222761729170000;søndag 3. mai 2026;12:02:52.917
Endtime of export;134222762171070000;søndag 3. mai 2026;12:03:37.107


Name;fXRef;Name;fPistonPosition;Name;fFF;Name;fU;Name;fXDotRef;Name;fError;Name;fPID

0;0.35030195206898956;0;0.34952739944428152;0;0;0;0;0;0.0017237020755587172;0;0.00081302437995178778;0;0
10;0.35030195206898956;10;0.34952739944428152;10;0;10;0;10;0.0017237020755587172;10;0.00081302437995178778;10;0
20;0.35030195206898956;20;0.34948892768903778;20;0;20;0;20;0.0017237020755587172;20;0.00081302437995178778;20;0
30;0.35030195206898956;30;0.34952739944428152;30;0;30;0;30;0.0017237020755587172;30;0.00081302437995178778;30;0
40;0.35030195206898956;40;0.349604342954769;40;0;40;0;40;0.0017237020755587172;40;0.00081302437995178778;40;0
50;0.35030195206898956;50;0.349450455933794;50;0;50;0;50;0.0017237020755587172;50;0.00081302437995178778;50;0
60;0.35030195206898956;60;0.34952739944428152;60;0;60;0;60;0.0017237020755587172;60;0.00081302437995178778;60;0
70;0.35030195206898956;70;0.34952739944428152;70;0;70;0;70;0.0017237020755587172;70;0.00081302437995178778;70;0
80;0.35030195206898956;80;0.34948892768903778;80;0;80;0;80;0.0017237020755587172;80;0.00081302437995178778;80;0
90;0.35030195206898956;90;0.349450455933794;90;0;90;0;90;0.0017237020755587172;90;0.00081302437995178778;90;0
100;0.35030195206898956;100;0.349450455933794;100;0;100;0;100;0.0017237020755587172;100;0.00081302437995178778;100;0
110;0.35030195206898956;110;0.34948892768903778;110;0;110;0;110;0.0017237020755587172;110;0.00081302437995178778;110;0
120;0.35030195206898956;120;0.34948892768903778;120;0;120;0;120;0.0017237020755587172;120;0.00081302437995178778;120;0
130;0.35030195206898956;130;0.34952739944428152;130;0;130;0;130;0.0017237020755587172;130;0.00081302437995178778;130;0
140;0.35030195206898956;140;0.34948892768903778;140;0;140;0;140;0.0017237020755587172;140;0.00081302437995178778;140;0
150;0.35030195206898956;150;0.34952739944428152;150;0;150;0;150;0.0017237020755587172;150;0.00081302437995178778;150;0
160;0.35030195206898956;160;0.34952739944428152;160;0;160;0;160;0.0017237020755587172;160;0.00081302437995178778;160;0
