Name;YT Scope Project;
File;C:\Users\Tobno\Desktop\SinusTests\MainFrictionRetake.csv;
Starttime of export;134227052015630000;fredag 8. mai 2026;11:13:21.563
Endtime of export;134227052853030000;fredag 8. mai 2026;11:14:45.303


Name;fXRef_mm;Name;fXReal_mm;Name;fError_mm;Name;fXDotRef;Name;fU_FF;Name;fU_PID;Name;fPs_bar;Name;fMain_Pa_bar;Name;fMain_Pb_bar;Name;fMain_Pa_Cyl_bar;Name;fMain_Pb_Cyl_bar
500;0;500;299.975769;500;0;500;0;500;0;500;0;500;151.432846;500;0;500;0.170903653;500;56.1296425;500;0
510;0;510;299.975769;510;0;510;0;510;0;510;0;510;151.591537;510;0;510;0.170903653;510;56.1662636;510;0
520;0;520;300.014252;520;0;520;0;520;0;520;0;520;151.481674;520;0;520;0.170903653;520;56.10523;520;0
530;0;530;300.014252;530;0;530;0;530;0;530;0;530;151.396225;530;0;530;0.170903653;530;56.1662636;530;0
540;0;540;300.014252;540;0;540;0;540;0;540;0;540;151.371811;540;0;540;0.183111057;540;56.20289;540;0
550;0;550;299.975769;550;0;550;0;550;0;550;0;550;151.408432;550;0;550;0.170903653;550;56.20289;550;0
560;0;560;299.975769;560;0;560;0;560;0;560;0;560;151.5305;560;0;560;0.170903653;560;56.2150955;560;0
570;0;570;300.014252;570;0;570;0;570;0;570;0;570;151.57933;570;0;570;0.207525864;570;56.2517166;570;0
580;0;580;300.014252;580;0;580;0;580;0;580;0;580;151.493881;580;0;580;0.207525864;580;56.23951;580;0
590;0;590;299.898834;590;0;590;0;590;0;590;0;590;151.371811;590;0;590;0.158696249;590;56.14185;590;0
600;0;600;299.937317;600;0;600;0;600;0;600;0;600;151.396225;600;0;600;0.183111057;600;56.1540565;600;0
610;0;610;299.975769;610;0;610;0;610;0;610;0;610;151.445053;610;0;610;0.231940672;610;56.1174355;610;0
620;0;620;299.937317;620;0;620;0;620;0;620;0;620;151.481674;620;0.0244148076;620;0.207525864;620;56.14185;620;0
630;0;630;299.975769;630;0;630;0;630;0;630;0;630;151.371811;630;0.0122074038;630;0.183111057;630;56.19068;630;0
640;0;640;300.014252;640;0;640;0;640;0;640;0;640;151.408432;640;0.0122074038;640;0.219733268;640;56.1174355;640;0
650;0;650;300.014252;650;0;650;0;650;0;650;0;650;151.5183;650;0.0244148076;650;0.207525864;650;56.1296425;650;0
660;0;660;300.014252;660;0;660;0;660;0;660;0;660;151.506088;660;0.0122074038;660;0.183111057;660;56.2150955;660;0
670;0;670;299.975769;670;0;670;0;670;0;670;0;670;151.408432;670;0;670;0.207525864;670;56.1174355;670;0
680;0;680;299.937317;680;0;680;0;680;0;680;0;680;151.445053;680;0;680;0.183111057;680;56.0686073;680;0
690;0;690;299.937317;690;0;690;0;690;0;690;0;690;151.481674;690;0;690;0.207525864;690;56.1296425;690;0
700;0;700;299.937317;700;0;700;0;700;0;700;0;700;151.445053;700;0;700;0.183111057;700;56.1174355;700;0
710;0;710;299.975769;710;0;710;0;710;0;710;0;710;151.615952;710;0;710;0.207525864;710;56.0563965;710;0
720;0;720;299.937317;720;0;720;0;720;0;720;0;720;151.420639;720;0;720;0.207525864;720;56.14185;720;0
730;0;730;299.937317;730;0;730;0;730;0;730;0;730;151.3474;730;0;730;0.183111057;730;56.2273026;730;0
740;0;740;299.937317;740;0;740;0;740;0;740;0;740;151.5183;740;0;740;0.183111057;740;56.19068;740;0
750;0;750;299.898834;750;0;750;0;750;0;750;0;750;151.554916;750;0.0122074038;750;0.183111057;750;56.09302;750;0
760;0;760;299.937317;760;0;760;0;760;0;760;0;760;151.3474;760;0;760;0.170903653;760;55.9465332;760;0
770;0;770;299.975769;770;0;770;0;770;0;770;0;770;151.371811;770;0;770;0.158696249;770;56.00757;770;0
780;0;780;300.052734;780;0;780;0;780;0;780;0;780;151.445053;780;0;780;0.170903653;780;56.20289;780;0
790;0;790;299.975769;790;0;790;0;790;0;790;0;790;151.506088;790;0;790;0.183111057;790;56.1662636;790;0
800;0;800;299.975769;800;0;800;0;800;0;800;0;800;151.591537;800;0;800;0.207525864;800;56.09302;800;0
