Name;YT Scope Project;
File;C:\Users\Tobno\Desktop\JibHard1.csv;
Starttime of export;134226189112130000;torsdag 7. mai 2026;11:15:11.213
Endtime of export;134226190135530000;torsdag 7. mai 2026;11:16:53.553


Name;fXRef_mm;Name;fXReal_mm;Name;fError_mm;Name;fXDotRef;Name;fU_FF;Name;fU_PID;Name;fPs_bar;Name;fJib_Pa_bar;Name;fJib_Pb_bar;Name;fJib_Pa_Cyl_bar;Name;fJib_Pb_Cyl_bar
450;0;450;363.807556;450;0;450;0;450;0;450;0;450;0.3418073;450;52.28431;450;52.34535;450;49.03714;450;53.2609024
460;0;460;363.76886;460;0;460;0;460;0;460;0;460;0.378429532;460;52.33314;460;52.3209343;460;49.0737648;460;53.2975235
470;0;470;363.76886;470;0;470;0;470;0;470;0;470;0.390636921;470;52.4918365;470;52.34535;470;49.0737648;470;53.3463554
480;0;480;363.76886;480;0;480;0;480;0;480;0;480;0.40284434;480;52.51625;480;52.3575554;480;49.03714;480;53.3463554
490;0;490;363.807556;490;0;490;0;490;0;490;0;490;0.354014724;490;52.4063835;490;52.5040436;490;49.1225929;490;53.5172577
500;0;500;363.807556;500;0;500;0;500;0;500;0;500;0.329599917;500;52.3941765;500;52.6383247;500;49.09818;500;53.5294647
510;0;510;363.807556;510;0;510;0;510;0;510;0;510;0.3418073;510;52.44301;510;52.5406647;510;49.061554;510;53.50505
520;0;520;363.807556;520;0;520;0;520;0;520;0;520;0.378429532;520;52.3941765;520;52.41859;520;49.0737648;520;53.5172577
530;0;530;363.76886;530;0;530;0;530;0;530;0;530;0.329599917;530;52.28431;530;52.4552155;530;48.9272728;530;53.37077
540;0;540;363.807556;540;0;540;0;540;0;540;0;540;0.3051851;540;52.2598953;540;52.5040436;540;48.9394836;540;53.2975235
550;0;550;363.807556;550;0;550;0;550;0;550;0;550;0.40284434;550;52.33314;550;52.4918365;550;49.0127258;550;53.2975235
560;0;560;363.807556;560;0;560;0;560;0;560;0;560;0.40284434;560;52.3087234;560;52.4552155;560;48.98831;560;53.2975235
570;0;570;363.846283;570;0;570;0;570;0;570;0;570;0.3051851;570;52.3575554;570;52.47963;570;49.03714;570;53.27311
580;0;580;363.76886;580;0;580;0;580;0;580;0;580;0.378429532;580;52.4063835;580;52.5040436;580;49.03714;580;53.27311
590;0;590;363.691467;590;0;590;0;590;0;590;0;590;0.354014724;590;52.3209343;590;52.47963;590;49.0249329;590;53.4195976
