Name;YT Scope Project;
File;C:\Users\Tobno\Desktop\JIBFRIC.csv;
Starttime of export;134225418299840000;onsdag 6. mai 2026;13:50:29.984
Endtime of export;134225418629540000;onsdag 6. mai 2026;13:51:02.954


Name;fJib_Pa_bar;Name;fJib_Pb_bar;Name;fJib_Pa_Cyl_bar;Name;fJib_Pb_Cyl_bar;Name;fJib_Position_mm;Name;fPs_bar;Name;fU;Name;fJib_Spool
1680;3.61339164;1680;85.1100159;1680;58.2415237;1680;82.534256;1680;348.318237;1680;153.117462;1680;0.29473739156302425;1680;-0.00869777520065913
1690;3.69884324;1690;85.1100159;1690;58.2781448;1690;82.54646;1690;348.318237;1690;153.080841;1690;0.29581812175506528;1690;-0.0083315530869471736
1700;3.625599;1700;85.02457;1700;58.30256;1700;82.4976349;1700;348.2787;1700;153.105255;1700;0.29763893659291696;1700;-0.0081484420300911957
1710;3.625599;1710;85.01236;1710;58.3758049;1710;82.48543;1710;348.2787;1710;153.068634;1710;0.2987232780262975;1710;-0.0082094790490431883
1720;3.66222119;1720;84.9879456;1720;58.3269768;1720;82.534256;1720;348.318237;1720;153.04422;1720;0.29906338200054378;1720;-0.0079653309732352177
1730;3.747673;1730;85.02457;1730;58.2293167;1730;82.55867;1730;348.2787;1730;153.068634;1730;0.3009109556586318;1730;-0.0076601458784752554
1740;3.72325826;1740;85.00015;1740;58.2293167;1740;82.4976349;1740;348.239166;1740;153.068634;1740;0.30275647786218113;1740;-0.0076601458784752554
1750;3.67442846;1750;85.00015;1750;58.2049026;1750;82.42439;1750;348.239166;1750;153.0198;1750;0.30385771438036957;1750;-0.0079042939542832251
1760;3.58897662;1760;85.03677;1760;58.2781448;1760;82.42439;1760;348.2787;1760;153.04422;1760;0.30420295088624261;1760;-0.0079653309732352177
1770;3.65001369;1770;84.87808;1770;58.30256;1770;82.42439;1770;348.318237;1770;153.16629;1770;0.304557074538773;1770;-0.0074770348216192774
1780;3.7598803;1780;84.78042;1780;58.29035;1780;82.44881;1780;348.318237;1780;153.093048;1780;0.30568976239359813;1780;-0.0074159978026672848
