Name;YT Scope Project;
File;C:\Users\Tobno\Desktop\SinusTests\JibFricRetake.csv;
Starttime of export;134227056435130000;fredag 8. mai 2026;11:20:43.513
Endtime of export;134227057266530000;fredag 8. mai 2026;11:22:06.653


Name;fXRef_mm;Name;fXReal_mm;Name;fError_mm;Name;fXDotRef;Name;fU_FF;Name;fU_PID;Name;fPs_bar;Name;fJib_Pa_bar;Name;fJib_Pb_bar;Name;fJib_Pa_Cyl_bar;Name;fJib_Pb_Cyl_bar
370;399.211456;370;399.881378;370;-0.7857747;370;-0.003937458642292932;370;0;370;0;370;152.153076;370;55.2262955;370;55.34837;370;56.8376732;370;70.4001
380;399.211456;380;399.881378;380;-0.7857747;380;-0.003937458642292932;380;0;380;0;380;152.226318;380;55.2385025;380;55.3605766;380;56.8376732;380;70.41231
390;399.211456;390;399.881378;390;-0.7857747;390;-0.003937458642292932;390;0;390;0;390;152.226318;390;55.3239555;390;55.3117447;390;56.99637;390;70.509964
400;399.211456;400;399.881378;400;-0.7857747;400;-0.003937458642292932;400;0;400;0;400;152.262955;400;55.3117447;400;55.4094048;400;56.8742943;400;70.47334
410;399.211456;410;399.881378;410;-0.7857747;410;-0.003937458642292932;410;0;410;0;410;152.250748;410;55.2385025;410;55.4704437;410;56.89871;410;70.351265
420;399.211456;420;399.919983;420;-0.7857747;420;-0.003937458642292932;420;0;420;0;420;152.226318;420;55.15305;420;55.3605766;420;57.0696144;420;70.41231
430;399.211456;430;399.919983;430;-0.7857747;430;-0.003937458642292932;430;0;430;0;430;152.214111;430;55.2385025;430;55.3727837;430;57.0696144;430;70.4611359
440;399.211456;440;399.919983;440;-0.7857747;440;-0.003937458642292932;440;0;440;0;440;152.165283;440;55.2262955;440;55.34837;440;56.98416;440;70.4611359
450;399.211456;450;399.919983;450;-0.7857747;450;-0.003937458642292932;450;0;450;0;450;152.153076;450;55.20188;450;55.3117447;450;56.9597473;450;70.38789
460;399.211456;460;399.919983;460;-0.7857747;460;-0.003937458642292932;460;0;460;0;460;152.1897;460;55.2751236;460;55.3117447;460;56.9109154;460;70.4001
470;399.211456;470;399.919983;470;-0.7857747;470;-0.003937458642292932;470;0;470;0;470;152.1897;470;55.28733;470;55.2995377;470;56.94754;470;70.5465851
480;399.211456;480;399.881378;480;-0.7857747;480;-0.003937458642292932;480;0;480;0;480;152.140869;480;55.3117447;480;55.38499;480;56.94754;480;70.63204
490;399.211456;490;399.919983;490;-0.7857747;490;-0.003937458642292932;490;0;490;0;490;152.116455;490;55.3361626;490;55.42161;490;56.94754;490;70.571
500;399.211456;500;399.919983;500;-0.7857747;500;-0.003937458642292932;500;0;500;0;500;152.116455;500;55.3605766;500;55.3727837;500;57.1062355;500;70.55879
510;399.211456;510;399.881378;510;-0.7857747;510;-0.003937458642292932;510;0;510;0;510;152.1897;510;55.28733;510;55.4704437;510;57.09403;510;70.49776
520;399.211456;520;399.881378;520;-0.7857747;520;-0.003937458642292932;520;0;520;0;520;152.226318;520;55.1408424;520;55.51927;520;56.93533;520;70.44893
530;399.211456;530;399.881378;530;-0.7857747;530;-0.003937458642292932;530;0;530;0;530;152.165283;530;55.2385025;530;55.3239555;530;56.9231224;530;70.44893
540;399.211456;540;399.919983;540;-0.7857747;540;-0.003937458642292932;540;0;540;0;540;152.17749;540;55.3727837;540;55.20188;540;56.9109154;540;70.41231
550;399.211456;550;399.881378;550;-0.7857747;550;-0.003937458642292932;550;0;550;0;550;152.214111;550;55.2629166;550;55.28733;550;56.8620872;550;70.43672
560;399.211456;560;399.881378;560;-0.7857747;560;-0.003937458642292932;560;0;560;0;560;152.214111;560;55.1896744;560;55.3117447;560;56.9109154;560;70.41231
570;399.211456;570;399.881378;570;-0.7857747;570;-0.003937458642292932;570;0;570;0;570;152.116455;570;55.2385025;570;55.28733;570;57.0451965;570;70.4001
