Name;YT Scope Project;
File;C:\Users\Tobno\Desktop\MainHard1.csv;
Starttime of export;134226208972630000;torsdag 7. mai 2026;11:48:17.263
Endtime of export;134226210017030000;torsdag 7. mai 2026;11:50:01.703


Name;fXRef_mm;Name;fXReal_mm;Name;fError_mm;Name;fXDotRef;Name;fU_FF;Name;fU_PID;Name;fPs_bar;Name;fMain_Pa_bar;Name;fMain_Pb_bar;Name;fMain_Pa_Cyl_bar;Name;fMain_Pb_Cyl_bar
350;156.0188;350;299.437164;350;3.134037;350;0.01073457201525492;350;0;350;0;350;151.872314;350;0;350;0.158696249;350;56.3005447;350;0
360;156.0188;360;299.437164;360;3.134037;360;0.01073457201525492;360;0;360;0;360;151.8357;360;0;360;0.158696249;360;56.1662636;360;0
370;156.0188;370;299.437164;370;3.134037;370;0.01073457201525492;370;0;370;0;370;151.750244;370;0;370;0.170903653;370;56.0686073;370;0
380;156.0188;380;299.475647;380;3.134037;380;0.01073457201525492;380;0;380;0;380;151.774658;380;0;380;0.207525864;380;56.1540565;380;0
390;156.0188;390;299.437164;390;3.134037;390;0.01073457201525492;390;0;390;0;390;151.872314;390;0;390;0.207525864;390;56.20289;390;0
400;156.0188;400;299.437164;400;3.134037;400;0.01073457201525492;400;0;400;0;400;151.8357;400;0;400;0.207525864;400;56.23951;400;0
410;156.0188;410;299.552582;410;3.134037;410;0.01073457201525492;410;0;410;0;410;151.786865;410;0;410;0.183111057;410;56.2883377;410;0
420;156.0188;420;299.552582;420;3.134037;420;0.01073457201525492;420;0;420;0;420;151.884521;420;0;420;0.158696249;420;56.3249626;420;0
430;156.0188;430;299.3987;430;3.134037;430;0.01073457201525492;430;0;430;0;430;151.872314;430;0.0122074038;430;0.170903653;430;56.3249626;430;0
440;156.0188;440;299.437164;440;3.134037;440;0.01073457201525492;440;0;440;0;440;151.762451;440;0.0244148076;440;0.183111057;440;56.2883377;440;0
450;156.0188;450;299.475647;450;3.134037;450;0.01073457201525492;450;0;450;0;450;151.786865;450;0;450;0.207525864;450;56.27613;450;0
460;156.0188;460;299.475647;460;3.134037;460;0.01073457201525492;460;0;460;0;460;151.896729;460;0;460;0.183111057;460;56.1662636;460;0
470;156.0188;470;299.475647;470;3.134037;470;0.01073457201525492;470;0;470;0;470;151.872314;470;0;470;0.170903653;470;56.1174355;470;0
480;156.0188;480;299.475647;480;3.134037;480;0.01073457201525492;480;0;480;0;480;151.8601;480;0;480;0.183111057;480;56.2150955;480;0
490;156.0188;490;299.475647;490;3.134037;490;0.01073457201525492;490;0;490;0;490;151.884521;490;0;490;0.170903653;490;56.27613;490;0
500;156.0188;500;299.475647;500;3.134037;500;0.01073457201525492;500;0;500;0;500;151.786865;500;0;500;0.170903653;500;56.20289;500;0
510;156.0188;510;299.475647;510;3.134037;510;0.01073457201525492;510;0;510;0;510;151.811279;510;0;510;0.170903653;510;56.09302;510;0
520;156.0188;520;299.475647;520;3.134037;520;0.01073457201525492;520;0;520;0;520;151.896729;520;0.0122074038;520;0.183111057;520;56.1662636;520;0
530;156.0188;530;299.475647;530;3.134037;530;0.01073457201525492;530;0;530;0;530;151.8357;530;0;530;0.207525864;530;56.1662636;530;0
540;156.0188;540;299.437164;540;3.134037;540;0.01073457201525492;540;0;540;0;540;151.811279;540;0;540;0.183111057;540;56.14185;540;0
550;156.0188;550;299.437164;550;3.134037;550;0.01073457201525492;550;0;550;0;550;151.811279;550;0;550;0.183111057;550;56.27613;550;0
560;156.0188;560;299.437164;560;3.134037;560;0.01073457201525492;560;0;560;0;560;151.8601;560;0;560;0.207525864;560;56.3127556;560;0
570;156.0188;570;299.3987;570;3.134037;570;0.01073457201525492;570;0;570;0;570;151.957764;570;0;570;0.183111057;570;56.1662636;570;0
580;156.0188;580;299.3987;580;3.134037;580;0.01073457201525492;580;0;580;0;580;151.93335;580;0;580;0.183111057;580;56.2273026;580;0
590;156.0188;590;299.437164;590;3.134037;590;0.01073457201525492;590;0;590;0;590;151.8601;590;0;590;0.183111057;590;56.4592438;590;0
600;156.0188;600;299.437164;600;3.134037;600;0.01073457201525492;600;0;600;0;600;151.8601;600;0;600;0.170903653;600;56.2517166;600;0
610;156.0188;610;299.3987;610;3.134037;610;0.01073457201525492;610;0;610;0;610;151.884521;610;0;610;0.183111057;610;56.2150955;610;0
620;156.0188;620;299.437164;620;3.134037;620;0.01073457201525492;620;0;620;0;620;151.799072;620;0;620;0.207525864;620;56.2273026;620;0
630;156.0188;630;299.552582;630;3.134037;630;0.01073457201525492;630;0;630;0;630;151.750244;630;0;630;0.170903653;630;56.1540565;630;0
640;156.0188;640;299.475647;640;3.134037;640;0.01073457201525492;640;0;640;0;640;151.8357;640;0;640;0.158696249;640;56.14185;640;0
650;156.0188;650;299.437164;650;3.134037;650;0.01073457201525492;650;0;650;0;650;151.896729;650;0.0244148076;650;0.207525864;650;56.1662636;650;0
660;156.0188;660;299.437164;660;3.134037;660;0.01073457201525492;660;0;660;0;660;151.872314;660;0.0122074038;660;0.183111057;660;56.2883377;660;0
670;156.0188;670;299.437164;670;3.134037;670;0.01073457201525492;670;0;670;0;670;151.7014;670;0;670;0.170903653;670;56.20289;670;0
680;156.0188;680;299.437164;680;3.134037;680;0.01073457201525492;680;0;680;0;680;151.774658;680;0;680;0.170903653;680;56.1296425;680;0
690;156.0188;690;299.475647;690;3.134037;690;0.01073457201525492;690;0;690;0;690;151.896729;690;0;690;0.158696249;690;56.23951;690;0
700;156.0188;700;299.475647;700;3.134037;700;0.01073457201525492;700;0;700;0;700;151.811279;700;0.0244148076;700;0.170903653;700;56.2517166;700;0
710;156.0188;710;299.437164;710;3.134037;710;0.01073457201525492;710;0;710;0;710;151.799072;710;0;710;0.158696249;710;56.23951;710;0
720;156.0188;720;299.3987;720;3.134037;720;0.01073457201525492;720;0;720;0;720;151.774658;720;0;720;0.170903653;720;56.2150955;720;0
730;156.0188;730;299.437164;730;3.134037;730;0.01073457201525492;730;0;730;0;730;151.811279;730;0;730;0.207525864;730;56.2150955;730;0
740;156.0188;740;299.475647;740;3.134037;740;0.01073457201525492;740;0;740;0;740;151.8601;740;0.0122074038;740;0.207525864;740;56.33717;740;0
750;156.0188;750;299.437164;750;3.134037;750;0.01073457201525492;750;0;750;0;750;151.872314;750;0;750;0.207525864;750;56.3249626;750;0
760;156.0188;760;299.437164;760;3.134037;760;0.01073457201525492;760;0;760;0;760;151.799072;760;0;760;0.183111057;760;56.3127556;760;0
770;156.0188;770;299.475647;770;3.134037;770;0.01073457201525492;770;0;770;0;770;151.8357;770;0;770;0.219733268;770;56.2517166;770;0
780;156.0188;780;299.437164;780;3.134037;780;0.01073457201525492;780;0;780;0;780;151.957764;780;0;780;0.244148076;780;56.1296425;780;0
790;156.0188;790;299.475647;790;3.134037;790;0.01073457201525492;790;0;790;0;790;151.8479;790;0;790;0.219733268;790;56.23951;790;0
800;156.0188;800;299.552582;800;3.134037;800;0.01073457201525492;800;0;800;0;800;151.8357;800;0;800;0.170903653;800;56.2517166;800;0
810;156.0188;810;299.475647;810;3.134037;810;0.01073457201525492;810;0;810;0;810;151.8601;810;0;810;0.158696249;810;56.20289;810;0
820;156.0188;820;299.475647;820;3.134037;820;0.01073457201525492;820;0;820;0;820;151.811279;820;0;820;0.170903653;820;56.20289;820;0
