file_name,u_percent,uV_expected,uSensor_mean,uValve_mean,uV_error,ps_bar,pa_bar,pb_bar,dp_bar,x_m,xdot_mps,Q_m3ps,Ad_m2
-100prosent.csv,-100,0,0.122094827079381,0,0.122094827079381,121.957236000964,13.3146519031368,113.973726972766,7.98350902819836,0.671239177504927,-0.0196358864378521,0.000192774864312123,6.94973087031089e-06
-95prosent.csv,-95,0.25,0.131851627972123,0.249946592608417,-0.118148372027877,121.983231522071,13.5078730078767,114.065489773874,7.91774174819725,0.676469752603967,-0.019767670910592,0.000194068655347802,7.02537032003538e-06
-90prosent.csv,-90,0.5,0.392869352528283,0.499893185216834,-0.107130647471717,121.981729615892,13.3642593608953,114.045683714603,7.93604590128936,0.673989513517768,-0.0198994553833269,0.00019536244638343,7.06404554229388e-06
-85prosent.csv,-85,0.75,0.653858266609378,0.750144962920015,-0.0961417333906224,121.999786849782,13.4303172151397,113.864798529104,8.13498832067827,0.669433375936746,-0.0196358864378465,0.000192774864312069,6.88472234584414e-06
-80prosent.csv,-80,1,0.916980485759114,1.00009155552843,-0.083019514240886,121.996368512595,13.4131819213516,113.639961564757,8.35640694783783,0.674024141213194,-0.0192405330196381,0.000188893491205146,6.65612844081206e-06
-75prosent.csv,-75,1.25,1.17759626544911,1.25003814813684,-0.0724037345508872,121.970538820555,13.2546020285223,113.258287116554,8.7122517040014,0.684308697873544,-0.0189769640741688,0.000186305909133894,6.42948094897922e-06
-70prosent.csv,-70,1.5,1.43890425329312,1.49998474074527,-0.0610957467068816,121.965203646754,13.1658117710706,112.752851963767,9.21235168298711,0.673248755391051,-0.01844982618322,0.000181130744991289,6.07884976199932e-06
-65prosent.csv,-65,1.75,1.69935074466202,1.74993133335368,-0.0506492553379845,121.913581131174,12.8710381213553,111.755675871838,10.1579052593357,0.672512381936824,-0.0177909038195316,0.000174661789813009,5.58226331485017e-06
-60prosent.csv,-60,2,1.96316785184456,2.00018311105686,-0.0368321481554355,121.919688101682,12.6163942631485,110.822326119094,11.0973619825876,0.690522944075115,-0.0171319814558424,0.000168192834634722,5.14294766382135e-06
-55prosent.csv,-55,2.25,2.22368405930439,2.25012970366527,-0.0263159406956111,121.943527155426,12.3283586728073,109.8699743623,12.0735527931259,0.683286730909349,-0.0162094901466792,0.000159136297385136,4.66515628551839e-06
-50prosent.csv,-50,2.5,2.48429691181252,2.50007629627368,-0.0157030881874825,121.960525373647,11.7302992704897,108.448833950332,13.5116914233148,0.696888054528954,-0.0148916454193126,0.000146198387028677,4.05137284688319e-06
-45prosent.csv,-45,2.75,2.74617515365588,2.7500228888821,-0.00382484634411684,122.010347937441,10.8075702244119,106.512308691599,15.498039245842,0.699643776138847,-0.0134420162192061,0.00013196668563654,3.41460461010371e-06
-40prosent.csv,-40,3,3.01080757417358,2.99996948149054,0.0108075741735805,122.101480904758,9.12029331836268,104.00677747488,18.0947034298782,0.709194063911179,-0.0114652491281397,0.000112559820101689,2.69539331321041e-06
-35prosent.csv,-35,3.25,3.27051477264255,3.25022125919371,0.020514772642553,122.260485789385,6.92288293902885,100.759372019232,21.5011137701535,0.723893095451248,-0.00882955967340115,8.66839993887179e-05,1.90424556520796e-06
-30prosent.csv,-30,3.5,3.53054350868058,3.50016785180213,0.0305435086805779,122.597224720339,5.21907636272179,97.9439182346363,24.6533064857028,0.756100388098631,-0.00579851680043695,5.69268055686553e-05,1.16786788985505e-06
-25prosent.csv,-25,3.75,3.79278582099033,3.75011444441054,0.0427858209903267,122.799651273696,2.45335763649678,93.183123506645,29.616527767051,0.785332898745886,-0.00263568945473857,2.58758207129712e-05,4.84330204617839e-07
-20prosent.csv,-20,4,4.05655393729066,4.00053871803681,0.0565539372906558,122.999832908733,0.287916084519895,72.3726095762551,50.6272233324782,0.7948208975095,0,0,0
-15prosent.csv,-15,4.25,4.3201348595253,4.25000762962736,0.0701348595253037,123.019373718674,0.424214968998346,50.953211435078,72.0661622835963,0.794807368384177,0,0,0
-10prosent.csv,-10,4.5,4.58162256203089,4.50025940733053,0.0816225620308906,123.060594197401,46.1047164840575,63.6427943879088,59.4177998094917,0.794803077480248,0,0,0
-5prosent.csv,-5,4.75,4.84827419884031,4.75020599993897,0.0982741988403113,122.989449329975,50.2431462055474,61.6184119709007,61.371037359074,0.794801153694941,0,0,0
