Name;YT Scope Project;
File;C:\Users\Tobno\Desktop\Kv Tester\JibNed120bar\-50prosent.csv;
Starttime of export;134212501179390000;tirsdag 21. april 2026;15:01:57.939
Endtime of export;134212501246686936;tirsdag 21. april 2026;15:02:04.668


Name;fPresSupply_bar;Name;fPres1A_bar;Name;fPres1B_bar;Name;fCylinder1_m;Name;fSensor1_V;Name;fValve1_V

0;122.03741569261757;0;10.974456007568593;0;108.78017517624438;0;0.74703214431370812;0;2.4857325968199713;0;2.50007629627369
10;122.17169713431196;10;10.962248603778194;10;108.89004181035797;10;0.74695307363006569;10;2.487868892483291;10;2.50007629627369
20;122.22052674947355;20;10.876796777245398;20;108.85341959898678;20;0.74675539692095982;20;2.4854274117252113;20;2.50007629627369
30;122.31818597979675;30;10.962248603778194;30;108.79238258003478;30;0.74659725555367507;30;2.4921414838099305;30;2.50007629627369
40;122.20831934568315;40;10.974456007568593;40;108.78017517624438;40;0.74647864952821152;40;2.4857325968199713;40;2.50007629627369
50;122.12286751915036;50;11.047700430310984;50;108.71913815729239;50;0.7463995788445692;50;2.4897000030518508;50;2.50007629627369
60;122.13507492294076;60;11.145359660634172;60;108.76796777245399;60;0.74624143747728455;60;2.4869533371990111;60;2.50007629627369
70;122.22052674947355;70;11.20639667958617;70;108.79238258003478;70;0.74608329610999979;70;2.4863429670094912;70;2.50007629627369
80;122.33039338358715;80;11.108737449262977;80;108.71913815729239;80;0.74600422542635747;80;2.4887844477675709;80;2.50007629627369
90;122.14728232673116;90;11.059907834101383;90;108.6336863307596;90;0.74584608405907271;90;2.4863429670094912;90;2.50007629627369
100;122.15948973052156;100;11.133152256843774;100;108.6092715231788;100;0.74572747803360928;100;2.4897000030518508;100;2.50007629627369
110;122.17169713431196;110;11.047700430310984;110;108.6092715231788;110;0.74552980132450331;110;2.4869533371990111;110;2.50007629627369
120;122.12286751915036;120;11.059907834101383;120;108.51161229285562;120;0.74549026598268209;120;2.4893948179570908;120;2.50007629627369
130;122.02520828882717;130;11.145359660634172;130;108.41395306253243;130;0.74529258927357622;130;2.4854274117252113;130;2.50007629627369
140;122.12286751915036;140;11.133152256843774;140;108.37733085116123;140;0.74513444790629146;140;2.4933622241889704;140;2.50007629627369
150;122.06183050019837;150;11.120944853053375;150;108.31629383220924;150;0.745015841880828;150;2.4875637073885311;150;2.50007629627369
160;122.11066011535996;160;11.19418927579577;160;108.31629383220924;160;0.74481816517172206;160;2.4872585222937711;160;2.50007629627369
170;122.02520828882717;170;11.267433698538163;170;108.38953825495163;170;0.74469955914625863;170;2.488174077578051;170;2.50007629627369
180;122.01300088503677;180;11.19418927579577;180;108.27967162083804;180;0.74442281175351044;180;2.4866481521042512;180;2.50007629627369
190;122.19611194189275;190;11.169774468214973;190;108.30408642841884;190;0.74426467038622568;190;2.4890896328623309;190;2.50007629627369
200;122.11066011535996;200;11.181981872005371;200;108.38953825495163;200;0.74410652901894092;200;2.488174077578051;200;2.50007629627369
210;122.06183050019837;210;11.181981872005371;210;108.36512344737083;210;0.7440274583352986;210;2.4918362987151705;210;2.50007629627369
220;121.8420972319712;220;11.218604083376569;220;108.32850123599964;220;0.74382978162619262;220;2.4848170415356914;220;2.50007629627369
