Name;YT Scope Project;
File;C:\Users\Tobno\Desktop\Kv Tester\JibNed150bar\-25prosent.csv;
Starttime of export;134214048379120000;torsdag 23. april 2026;10:00:37.912
Endtime of export;134214048449945687;torsdag 23. april 2026;10:00:44.994


Name;fPresSupply_bar;Name;fPres1A_bar;Name;fPres1B_bar;Name;fCylinder1_m;Name;fSensor1_V;Name;fValve1_V

0;151.81127353740044;0;5.420087282937101;0;97.903378398999;0;0.73829483377122773;0;3.7952818384350104;0;3.750114444410535
10;151.83568834498124;10;5.420087282937101;10;97.7080599383526;10;0.73825529842940651;10;3.7919248023926508;10;3.750114444410535
20;151.75023651844845;20;5.5177465132602928;20;97.8789635914182;20;0.73829483377122773;20;3.7919248023926508;20;3.750114444410535
30;151.68919949949645;30;5.54216132084109;30;97.8789635914182;30;0.738136692403943;30;3.7913144322031309;30;3.750114444410535
40;151.78685872981964;40;5.4567094943082983;40;97.7935117648854;40;0.73805762172030065;40;3.79741813409833;40;3.750114444410535
50;151.50608844264048;50;5.5299539170506913;50;97.8057191686758;50;0.73797855103665833;50;3.7925351725821708;50;3.750114444410535
60;151.56712546159247;60;5.5177465132602928;60;97.83013397625659;60;0.73789948035301589;60;3.7925351725821708;60;3.750114444410535
70;151.67699209570605;70;5.4811243018890972;70;97.83013397625659;70;0.73782040966937357;70;3.7910092471083709;70;3.750114444410535
80;151.78685872981964;80;5.5299539170506913;80;97.7935117648854;80;0.73778087432755235;80;3.7940610980559706;80;3.750114444410535
90;151.55491805780207;90;5.444502090517898;90;97.903378398999;90;0.73778087432755235;90;3.7910092471083709;90;3.750114444410535
100;151.62816248054446;100;5.5299539170506913;100;97.903378398999;100;0.73770180364391;100;3.7919248023926508;100;3.750114444410535
110;151.72582171086765;110;5.6154057435834837;110;97.8911709952086;110;0.73766226830208892;110;3.7965025788140503;110;3.750114444410535
120;151.70140690328685;120;5.6154057435834837;120;97.7446821497238;120;0.73750412693480416;120;3.7940610980559706;120;3.750114444410535
130;151.76244392223884;130;5.6031983397930851;130;97.8789635914182;130;0.73742505625116184;130;3.7937559129612106;130;3.750114444410535
140;151.62816248054446;140;5.5177465132602928;140;97.988830225531785;140;0.73742505625116184;140;3.7891781365398112;140;3.750114444410535
150;151.76244392223884;150;5.4811243018890972;150;97.842341380046989;150;0.73742505625116184;150;3.7943662831507305;150;3.750114444410535
160;151.67699209570605;160;5.4689168980986969;160;97.8057191686758;160;0.73738552090934062;160;3.7910092471083709;160;3.750114444410535
170;151.68919949949645;170;5.420087282937101;170;97.9155858027894;170;0.7373064502256983;170;3.7937559129612106;170;3.750114444410535
180;151.60374767296366;180;5.5055391094698942;180;97.9155858027894;180;0.73726691488387708;180;3.7919248023926508;180;3.750114444410535
190;151.67699209570605;190;5.5299539170506913;190;97.8057191686758;190;0.73714830885841354;190;3.7961973937192903;190;3.750114444410535
200;151.62816248054446;200;5.5055391094698942;200;97.817926572466192;200;0.73706923817477121;200;3.7961973937192903;200;3.750114444410535
210;151.67699209570605;210;5.5299539170506913;210;97.7324747459334;210;0.73695063214930767;210;3.7913144322031309;210;3.750114444410535
220;151.84789574877163;220;5.5299539170506913;220;97.720267342143;220;0.73691109680748645;220;3.7965025788140503;220;3.750114444410535
230;151.70140690328685;230;5.5299539170506913;230;97.610400708029417;230;0.73683202612384413;230;3.7916196172978909;230;3.750114444410535
240;151.76244392223884;240;5.3956724753563039;240;97.537156285287026;240;0.73679249078202291;240;3.7919248023926508;240;3.750114444410535
250;151.70140690328685;250;5.3346354564043095;250;97.537156285287026;250;0.73679249078202291;250;3.7913144322031309;250;3.750114444410535
260;151.72582171086765;260;5.3834650715659054;260;97.549363689077424;260;0.73667388475655948;260;3.79711294900357;260;3.750114444410535
270;151.65257728812526;270;5.5055391094698942;270;97.524948881496627;270;0.736594814072917;270;3.7913144322031309;270;3.750114444410535
280;151.70140690328685;280;5.54216132084109;280;97.451704458754236;280;0.73651574338927472;280;3.7943662831507305;280;3.750114444410535
