Name;YT Scope Project;
File;C:\Users\Tobno\Desktop\Kv Tester\JibNed150bar\-90prosent.csv;
Starttime of export;134214058531320000;torsdag 23. april 2026;10:17:33.132
Endtime of export;134214058613754678;torsdag 23. april 2026;10:17:41.375


Name;fPresSupply_bar;Name;fPres1A_bar;Name;fPres1B_bar;Name;fCylinder1_m;Name;fSensor1_V;Name;fValve1_V

0;149.00357066560869;0;23.389385662404251;0;134.5622119815668;0;0.73007148267242261;0;0.39368877224036375;0;0.499893185216834
10;148.9547410504471;10;23.499252296517842;10;134.45234534745322;10;0.72975519993785321;10;0.38941618091372421;10;0.499893185216834
20;148.9181188390759;20;23.51145970030824;20;134.48896755882441;20;0.72947845254510491;20;0.39429914242988373;20;0.499893185216834
30;148.88149662770471;30;23.426007873775447;30;134.41572313608202;30;0.72908309912689329;30;0.390942106387524;30;0.499893185216834
40;148.74721518601029;40;23.572496719260233;40;134.36689352092043;40;0.728806351734145;40;0.39857173375652333;40;0.499893185216834
50;148.7350077822199;50;23.462630085146643;50;134.41572313608202;50;0.72849006899957558;50;0.39185766167180397;50;0.499893185216834
60;148.82045960875269;60;23.413800469985048;60;134.51338236640521;60;0.72821332160682728;60;0.39429914242988373;60;0.499893185216834
70;148.7228003784295;70;23.474837488937041;70;134.51338236640521;70;0.72789703887225776;70;0.38972136600848417;70;0.499893185216834
80;148.62514114810631;80;23.450422681356244;80;134.42793053987242;80;0.72758075613768836;80;0.39216284676656393;80;0.499893185216834
90;148.74721518601029;90;23.499252296517842;90;134.40351573229162;90;0.72730400874494017;90;0.39429914242988373;90;0.499893185216834
100;148.80825220496229;100;23.499252296517842;100;134.45234534745322;100;0.72698772601037076;100;0.3903317361980041;100;0.499893185216834
110;148.79604480117189;110;23.487044892727443;110;134.39130832850122;110;0.72671097861762246;110;0.39643543809320347;110;0.499893185216834
120;148.74721518601029;120;23.40159306619465;120;134.35468611713003;120;0.72631562519941073;120;0.391247291482284;120;0.499893185216834
130;148.6983855708487;130;23.413800469985048;130;134.42793053987242;130;0.72595980712302011;130;0.39582506790368355;130;0.499893185216834
140;148.7228003784295;140;23.499252296517842;140;134.31806390575883;140;0.7256435243884507;140;0.390942106387524;140;0.499893185216834
150;148.79604480117189;150;23.487044892727443;150;134.23261207922604;150;0.72532724165388129;150;0.39613025299844351;150;0.499893185216834
160;148.61293374431591;160;23.450422681356244;160;134.35468611713003;160;0.72501095891931189;160;0.38941618091372421;160;0.499893185216834
170;148.6983855708487;170;23.462630085146643;170;134.42793053987242;170;0.7246156055011;170;0.39368877224036375;170;0.499893185216834
180;148.78383739738149;180;23.51145970030824;180;134.31806390575883;180;0.72433885810835186;180;0.39521469771416362;180;0.499893185216834
190;148.7228003784295;190;23.560289315469834;190;134.44013794366282;190;0.72406211071560356;190;0.39216284676656393;190;0.499893185216834
200;148.6861781670583;200;23.51145970030824;200;134.36689352092043;200;0.72386443400649769;200;0.39613025299844351;200;0.499893185216834
210;148.62514114810631;210;23.572496719260233;210;134.29364909817804;210;0.72350861593010718;210;0.3903317361980041;210;0.499893185216834
220;148.79604480117189;220;23.584704123050631;220;134.39130832850122;220;0.72319233319553777;220;0.39521469771416362;220;0.499893185216834
230;148.74721518601029;230;23.499252296517842;230;134.55000457777641;230;0.72291558580278936;230;0.3903317361980041;230;0.499893185216834
240;148.63734855189671;240;23.426007873775447;240;134.5622119815668;240;0.72267837375186228;240;0.39613025299844351;240;0.499893185216834
250;148.56410412915432;250;23.474837488937041;250;134.52558977019561;250;0.72236209101729287;250;0.38941618091372421;250;0.499893185216834
260;148.7350077822199;260;23.70677816095462;260;134.6110415967284;260;0.72200627294090225;260;0.39277321695608386;260;0.499893185216834
270;148.77162999359109;270;23.633533738212225;270;134.55000457777641;270;0.72180859623179638;270;0.39155247657704395;270;0.499893185216834
280;148.6983855708487;280;23.450422681356244;280;134.45234534745322;280;0.721492313497227;280;0.39368877224036375;280;0.499893185216834
290;148.77162999359109;290;23.450422681356244;290;134.42793053987242;290;0.72113649542083647;290;0.39735099337748347;290;0.499893185216834
300;148.82045960875269;300;23.560289315469834;300;134.46455275124362;300;0.72074114200262462;300;0.39155247657704395;300;0.499893185216834
310;148.86928922391431;310;23.560289315469834;310;134.50117496261481;310;0.72050392995169754;310;0.39582506790368355;310;0.499893185216834
320;148.79604480117189;320;23.413800469985048;320;134.537797173986;320;0.72018764721712814;320;0.38911099581896419;320;0.499893185216834
330;148.80825220496229;330;23.413800469985048;330;134.52558977019561;330;0.719950435166201;330;0.39551988280892358;330;0.499893185216834
340;148.79604480117189;340;23.450422681356244;340;134.55000457777641;340;0.71967368777345286;340;0.39063692129276406;340;0.499893185216834
350;148.83266701254311;350;23.426007873775447;350;134.51338236640521;350;0.71935740503888346;350;0.39735099337748347;350;0.499893185216834
360;148.7228003784295;360;23.487044892727443;360;134.39130832850122;360;0.71904112230431394;360;0.3903317361980041;360;0.499893185216834
370;148.84487441633351;370;23.621326334421827;370;134.33027130954923;370;0.71872483956974453;370;0.38880581072420423;370;0.499893185216834
380;148.9547410504471;380;23.487044892727443;380;134.31806390575883;380;0.71840855683517513;380;0.39368877224036375;380;0.499893185216834
390;148.82045960875269;390;23.389385662404251;390;134.39130832850122;390;0.7180527387587845;390;0.39368877224036375;390;0.499893185216834
400;148.9669484542375;400;23.487044892727443;400;134.39130832850122;400;0.71781552670785742;400;0.39551988280892358;400;0.499893185216834
410;148.9303262428663;410;23.51145970030824;410;134.31806390575883;410;0.7174597086314668;410;0.38850062562944426;410;0.499893185216834
420;148.79604480117189;420;23.548081911679436;420;134.31806390575883;420;0.71710389055507628;420;0.39551988280892358;420;0.499893185216834
430;148.77162999359109;430;23.51145970030824;430;134.34247871333963;430;0.71678760782050677;430;0.38972136600848417;430;0.499893185216834
440;148.79604480117189;440;23.51145970030824;440;134.30585650196844;440;0.71647132508593736;440;0.39643543809320347;440;0.499893185216834
450;148.78383739738149;450;23.487044892727443;450;134.31806390575883;450;0.716155042351368;450;0.39063692129276406;450;0.499893185216834
460;148.9669484542375;460;23.413800469985048;460;134.44013794366282;460;0.71579922427497744;460;0.39338358714560379;460;0.499893185216834
470;148.9181188390759;470;23.487044892727443;470;134.34247871333963;470;0.71556201222405025;470;0.39368877224036375;470;0.499893185216834
480;148.6983855708487;480;23.548081911679436;480;134.26923429059724;480;0.71524572948948084;480;0.39155247657704395;480;0.499893185216834
490;148.62514114810631;490;23.499252296517842;490;134.22040467543565;490;0.71500851743855376;490;0.39613025299844351;490;0.499893185216834
500;148.64955595568711;500;23.645741142002624;500;134.36689352092043;500;0.71465269936216325;500;0.39399395733512371;500;0.499893185216834
510;148.6983855708487;510;23.682363353373823;510;134.41572313608202;510;0.714375951969415;510;0.39735099337748347;510;0.499893185216834
520;148.6739707632679;520;23.59691152684103;520;134.23261207922604;520;0.71405966923484554;520;0.38941618091372421;520;0.499893185216834
530;148.56410412915432;530;23.657948545793023;530;134.25702688680684;530;0.71374338650027613;530;0.39582506790368355;530;0.499893185216834
540;148.55189672536392;540;23.59691152684103;540;134.26923429059724;540;0.71342710376570673;540;0.3903317361980041;540;0.499893185216834
550;148.77162999359109;550;23.487044892727443;550;134.41572313608202;550;0.7130712856893161;550;0.39582506790368355;550;0.499893185216834
560;148.6983855708487;560;23.499252296517842;560;134.42793053987242;560;0.71275500295474659;560;0.39185766167180397;560;0.499893185216834
570;148.7228003784295;570;23.51145970030824;570;134.44013794366282;570;0.71239918487835607;570;0.39155247657704395;570;0.499893185216834
580;148.78383739738149;580;23.51145970030824;580;134.46455275124362;580;0.71204336680196545;580;0.39521469771416362;580;0.499893185216834
590;148.74721518601029;590;23.487044892727443;590;134.598834192938;590;0.711727084067396;590;0.39307840205084382;590;0.499893185216834
600;148.78383739738149;600;23.462630085146643;600;134.537797173986;600;0.71152940735829018;600;0.39735099337748347;600;0.499893185216834
610;148.64955595568711;610;23.51145970030824;610;134.45234534745322;610;0.71121312462372077;610;0.38972136600848417;610;0.499893185216834
620;148.64955595568711;620;23.560289315469834;620;134.45234534745322;620;0.71093637723097247;620;0.39613025299844351;620;0.499893185216834
630;148.6983855708487;630;23.499252296517842;630;134.44013794366282;630;0.71065962983822417;630;0.390942106387524;630;0.499893185216834
640;148.83266701254311;640;23.474837488937041;640;134.52558977019561;640;0.710382882445476;640;0.39643543809320347;640;0.499893185216834
650;148.79604480117189;650;23.462630085146643;650;134.44013794366282;650;0.71002706436908536;650;0.391247291482284;650;0.499893185216834
660;148.82045960875269;660;23.535874507889037;660;134.41572313608202;660;0.70967124629269474;660;0.39399395733512371;660;0.499893185216834
670;148.86928922391431;670;23.59691152684103;670;134.35468611713003;670;0.70947356958358887;670;0.39521469771416362;670;0.499893185216834
680;148.6983855708487;680;23.584704123050631;680;134.30585650196844;680;0.70903868082355592;680;0.39155247657704395;680;0.499893185216834
